G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",antelope-valley,97,45,52,97.0,45.0
2,"Sun, Nov 12, 2017",san-diego,64,81,35,80.5,63.0
3,"Thu, Nov 16, 2017",southern-utah,69,81,23,76.66666666666667,69.0
4,"Sun, Nov 19, 2017",saint-marys-ca 21,61,79,5,72.75,71.5
5,"Wed, Nov 22, 2017",idaho-state,62,54,13,70.6,68.0
6,"Wed, Nov 29, 2017",bowling-green-state,79,85,7,72.0,70.83333333333333
7,"Sat, Dec 2, 2017",southern-illinois,58,76,-11,70.0,71.57142857142857
8,"Tue, Dec 5, 2017",denver,56,58,-13,68.25,69.875
9,"Sat, Dec 9, 2017",portland,55,64,-22,66.77777777777777,69.22222222222223
10,"Sun, Dec 17, 2017",south-dakota,62,76,-36,66.3,69.9
11,"Thu, Dec 21, 2017",santa-clara,75,63,-24,67.0909090909091,69.27272727272727
12,"Wed, Dec 27, 2017",utah-state,72,86,-38,67.5,70.66666666666667
13,"Sat, Dec 30, 2017",colorado-state,52,59,-45,66.3076923076923,69.76923076923077
14,"Wed, Jan 3, 2018",nevada-las-vegas,76,82,-51,67.0,70.64285714285714
15,"Sat, Jan 6, 2018",new-mexico,47,80,-84,65.66666666666667,71.26666666666667
16,"Tue, Jan 9, 2018",san-diego-state,49,85,-120,64.625,72.125
17,"Sat, Jan 13, 2018",air-force,71,78,-127,65.0,72.47058823529412
18,"Wed, Jan 17, 2018",nevada,54,71,-144,64.38888888888889,72.38888888888889
19,"Wed, Jan 24, 2018",boise-state,71,94,-167,64.73684210526316,73.52631578947368
20,"Sat, Jan 27, 2018",wyoming,86,90,-171,65.8,74.35
21,"Wed, Jan 31, 2018",nevada-las-vegas,67,76,-180,65.85714285714286,74.42857142857143
22,"Sat, Feb 3, 2018",new-mexico,68,71,-183,65.95454545454545,74.27272727272727
23,"Sat, Feb 10, 2018",colorado-state,79,90,-194,66.52173913043478,74.95652173913044
24,"Wed, Feb 14, 2018",fresno-state,57,77,-214,66.125,75.04166666666667
25,"Sat, Feb 17, 2018",wyoming,75,89,-228,66.48,75.6
26,"Wed, Feb 21, 2018",nevada 20,67,80,-241,66.5,75.76923076923077
27,"Sat, Feb 24, 2018",san-diego-state,59,71,-253,66.22222222222223,75.5925925925926
28,"Wed, Feb 28, 2018",utah-state,64,62,-251,66.14285714285714,75.10714285714286
29,"Sat, Mar 3, 2018",air-force,61,83,-273,65.96551724137932,75.37931034482759
G,Date,opponent,Tm,Opp,-273,65.96551724137932,75.37931034482759
30,"Wed, Mar 7, 2018",wyoming,61,74,-286,65.8,75.33333333333333
