G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",wofford,73,52,21,73.0,52.0
2,"Mon, Nov 13, 2017",western-michigan,78,60,39,75.5,56.0
3,"Thu, Nov 16, 2017",illinois-state,65,69,35,72.0,60.333333333333336
4,"Fri, Nov 17, 2017",texas-el-paso,80,56,59,74.0,59.25
5,"Sun, Nov 19, 2017",western-michigan,79,66,72,75.0,60.6
6,"Mon, Nov 27, 2017",florida-international,78,61,89,75.5,60.666666666666664
7,"Thu, Nov 30, 2017",temple,60,76,73,73.28571428571429,62.857142857142854
8,"Sat, Dec 2, 2017",massachusetts,76,70,79,73.625,63.75
9,"Wed, Dec 6, 2017",wyoming,80,64,95,74.33333333333333,63.77777777777778
10,"Sat, Dec 9, 2017",coastal-carolina,80,78,97,74.9,65.2
11,"Tue, Dec 19, 2017",clemson,48,64,81,72.45454545454545,65.0909090909091
12,"Wed, Dec 27, 2017",limestone,74,45,110,72.58333333333333,63.416666666666664
13,"Sun, Dec 31, 2017",mississippi,69,74,105,72.3076923076923,64.23076923076923
14,"Wed, Jan 3, 2018",missouri,68,79,94,72.0,65.28571428571429
15,"Sat, Jan 6, 2018",vanderbilt,71,60,105,71.93333333333334,64.93333333333334
16,"Tue, Jan 9, 2018",alabama,62,76,91,71.3125,65.625
17,"Sat, Jan 13, 2018",georgia,64,57,98,70.88235294117646,65.11764705882354
18,"Tue, Jan 16, 2018",kentucky 18,76,68,106,71.16666666666667,65.27777777777777
19,"Sat, Jan 20, 2018",tennessee 21,63,70,99,70.73684210526316,65.52631578947368
20,"Wed, Jan 24, 2018",florida 20,77,72,104,71.05,65.85
21,"Sat, Jan 27, 2018",texas-tech 14,63,70,97,70.66666666666667,66.04761904761905
22,"Wed, Jan 31, 2018",mississippi-state,76,81,92,70.9090909090909,66.72727272727273
23,"Sat, Feb 3, 2018",texas-am,60,83,69,70.43478260869566,67.43478260869566
24,"Tue, Feb 6, 2018",arkansas,65,81,53,70.20833333333333,68.0
25,"Sat, Feb 10, 2018",florida,41,65,29,69.04,67.88
26,"Tue, Feb 13, 2018",tennessee 18,67,70,26,68.96153846153847,67.96153846153847
27,"Sat, Feb 17, 2018",auburn 10,84,75,35,69.51851851851852,68.22222222222223
28,"Wed, Feb 21, 2018",georgia,66,57,44,69.39285714285714,67.82142857142857
29,"Sat, Feb 24, 2018",mississippi-state,68,72,40,69.34482758620689,67.96551724137932
30,"Wed, Feb 28, 2018",louisiana-state,83,74,49,69.8,68.16666666666667
31,"Sat, Mar 3, 2018",auburn 14,70,79,40,69.80645161290323,68.51612903225806
G,Date,opponent,Tm,Opp,40,69.80645161290323,68.51612903225806
32,"Wed, Mar 7, 2018",mississippi,85,84,41,70.28125,69.0
33,"Thu, Mar 8, 2018",arkansas,64,69,36,70.0909090909091,69.0
