G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",florida-atlantic,60,59,1,60.0,59.0
2,"Mon, Nov 13, 2017",morgan-state,53,63,-9,56.5,61.0
3,"Wed, Nov 15, 2017",stetson,75,72,-6,62.666666666666664,64.66666666666667
4,"Sun, Nov 19, 2017",indiana,53,70,-23,60.25,66.0
5,"Wed, Nov 22, 2017",howard,75,52,0,63.2,63.2
6,"Fri, Nov 24, 2017",arkansas-state,72,61,11,64.66666666666667,62.833333333333336
7,"Sun, Nov 26, 2017",eastern-michigan,47,65,-7,62.142857142857146,63.142857142857146
8,"Thu, Nov 30, 2017",elon,78,79,-8,64.125,65.125
9,"Sat, Dec 2, 2017",appalachian-state,61,84,-31,63.77777777777778,67.22222222222223
10,"Mon, Dec 11, 2017",florida-international,53,65,-43,62.7,67.0
11,"Thu, Dec 14, 2017",bethune-cookman,83,63,-23,64.54545454545455,66.63636363636364
12,"Mon, Dec 18, 2017",northern-arizona,70,56,-9,65.0,65.75
13,"Thu, Dec 21, 2017",charlotte,78,76,-7,66.0,66.53846153846153
14,"Thu, Dec 28, 2017",houston,60,79,-26,65.57142857142857,67.42857142857143
15,"Sun, Dec 31, 2017",southern-methodist,39,79,-66,63.8,68.2
16,"Wed, Jan 3, 2018",east-carolina,65,67,-68,63.875,68.125
17,"Sun, Jan 7, 2018",wichita-state 9,57,95,-106,63.470588235294116,69.70588235294117
18,"Sat, Jan 13, 2018",cincinnati 14,55,78,-129,63.0,70.16666666666667
19,"Wed, Jan 17, 2018",east-carolina,52,90,-167,62.421052631578945,71.21052631578948
20,"Sat, Jan 20, 2018",central-florida,69,71,-169,62.75,71.2
21,"Thu, Jan 25, 2018",tulane,80,75,-164,63.57142857142857,71.38095238095238
22,"Sun, Jan 28, 2018",houston,40,63,-187,62.5,71.0
23,"Wed, Jan 31, 2018",memphis,74,86,-199,63.0,71.65217391304348
24,"Sun, Feb 4, 2018",tulsa,54,63,-208,62.625,71.29166666666667
25,"Wed, Feb 7, 2018",connecticut,65,68,-211,62.72,71.16
26,"Sat, Feb 10, 2018",temple,55,73,-229,62.42307692307692,71.23076923076923
27,"Wed, Feb 14, 2018",central-florida,57,72,-244,62.22222222222222,71.25925925925925
28,"Sun, Feb 18, 2018",tulsa,61,73,-256,62.17857142857143,71.32142857142857
29,"Sat, Feb 24, 2018",tulane,68,79,-267,62.37931034482759,71.58620689655173
30,"Thu, Mar 1, 2018",memphis,75,51,-243,62.8,70.9
31,"Sun, Mar 4, 2018",southern-methodist,65,54,-232,62.87096774193548,70.35483870967742
G,Date,opponent,Tm,Opp,-232,62.87096774193548,70.35483870967742
32,"Thu, Mar 8, 2018",memphis,77,79,-234,63.3125,70.625
