G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",cal-poly,78,62,16,78.0,62.0
2,"Sun, Nov 12, 2017",pacific,89,80,25,83.5,71.0
3,"Tue, Nov 14, 2017",eastern-washington,61,67,19,76.0,69.66666666666667
4,"Fri, Nov 17, 2017",northeastern,73,59,33,75.25,67.0
5,"Mon, Nov 20, 2017",north-carolina 9,72,96,9,74.6,72.8
6,"Thu, Nov 23, 2017",florida 7,87,108,-12,76.66666666666667,78.66666666666667
7,"Fri, Nov 24, 2017",ohio-state,71,79,-20,75.85714285714286,78.71428571428571
8,"Sun, Nov 26, 2017",portland-state,78,87,-29,76.125,79.75
9,"Wed, Nov 29, 2017",montana,70,54,-13,75.44444444444444,76.88888888888889
10,"Sun, Dec 3, 2017",long-beach-state,68,76,-21,74.7,76.8
11,"Fri, Dec 15, 2017",denver,75,62,-8,74.72727272727273,75.45454545454545
12,"Sun, Dec 17, 2017",san-francisco,71,59,4,74.41666666666667,74.08333333333333
13,"Thu, Dec 21, 2017",kansas 14,54,75,-17,72.84615384615384,74.15384615384616
14,"Sat, Dec 30, 2017",california,74,77,-20,72.92857142857143,74.35714285714286
15,"Thu, Jan 4, 2018",ucla,107,99,-12,75.2,76.0
16,"Sun, Jan 7, 2018",southern-california,77,76,-11,75.3125,76.0
17,"Thu, Jan 11, 2018",washington-state,79,70,-2,75.52941176470588,75.6470588235294
18,"Sat, Jan 13, 2018",washington,73,64,7,75.38888888888889,75.0
19,"Wed, Jan 17, 2018",arizona-state 16,86,77,16,75.94736842105263,75.10526315789474
20,"Sat, Jan 20, 2018",arizona 14,71,73,14,75.7,75.0
21,"Wed, Jan 24, 2018",southern-california,64,69,9,75.14285714285714,74.71428571428571
22,"Sat, Jan 27, 2018",ucla,73,89,-7,75.04545454545455,75.36363636363636
23,"Thu, Feb 1, 2018",oregon-state,80,71,2,75.26086956521739,75.17391304347827
24,"Sat, Feb 3, 2018",oregon,96,61,37,76.125,74.58333333333333
25,"Thu, Feb 8, 2018",utah,60,75,22,75.48,74.6
26,"Sun, Feb 11, 2018",colorado,56,64,14,74.73076923076923,74.1923076923077
27,"Sun, Feb 18, 2018",california,77,73,18,74.81481481481481,74.14814814814815
28,"Thu, Feb 22, 2018",washington,94,78,34,75.5,74.28571428571429
29,"Sat, Feb 24, 2018",washington-state,86,84,36,75.86206896551724,74.62068965517241
30,"Thu, Mar 1, 2018",arizona 19,67,75,28,75.56666666666666,74.63333333333334
31,"Sat, Mar 3, 2018",arizona-state,84,83,29,75.83870967741936,74.90322580645162
G,Date,opponent,Tm,Opp,29,75.83870967741936,74.90322580645162
32,"Wed, Mar 7, 2018",california,76,58,47,75.84375,74.375
33,"Thu, Mar 8, 2018",ucla,77,88,36,75.87878787878788,74.78787878787878
G,Date,opponent,Tm,Opp,36,75.87878787878788,74.78787878787878
34,"Wed, Mar 14, 2018",brigham-young,86,83,39,76.17647058823529,75.02941176470588
35,"Mon, Mar 19, 2018",oklahoma-state,65,71,33,75.85714285714286,74.91428571428571
