G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",cornell,77,45,32,77.0,45.0
2,"Tue, Nov 14, 2017",iona,71,62,41,74.0,53.5
3,"Sat, Nov 18, 2017",texas-southern,80,67,54,76.0,58.0
4,"Mon, Nov 20, 2017",oakland,74,50,78,75.5,56.0
5,"Wed, Nov 22, 2017",toledo,72,64,86,74.8,57.6
6,"Mon, Nov 27, 2017",maryland,72,70,88,74.33333333333333,59.666666666666664
7,"Sat, Dec 2, 2017",kansas 2,60,76,72,72.28571428571429,62.0
8,"Tue, Dec 5, 2017",connecticut,72,63,81,72.25,62.125
9,"Sat, Dec 9, 2017",colgate,72,58,95,72.22222222222223,61.666666666666664
10,"Sat, Dec 16, 2017",georgetown,86,79,102,73.6,63.4
11,"Tue, Dec 19, 2017",buffalo,81,74,109,74.27272727272727,64.36363636363636
12,"Fri, Dec 22, 2017",st-bonaventure,57,60,106,72.83333333333333,64.0
13,"Wed, Dec 27, 2017",eastern-michigan,62,47,121,72.0,62.69230769230769
14,"Sun, Dec 31, 2017",virginia-tech,68,56,133,71.71428571428571,62.214285714285715
15,"Wed, Jan 3, 2018",wake-forest,67,73,127,71.4,62.93333333333333
16,"Sat, Jan 6, 2018",notre-dame,49,51,125,70.0,62.1875
17,"Tue, Jan 9, 2018",virginia 3,61,68,118,69.47058823529412,62.529411764705884
18,"Sat, Jan 13, 2018",florida-state 23,90,101,107,70.61111111111111,64.66666666666667
19,"Tue, Jan 16, 2018",pittsburgh,59,45,121,70.0,63.63157894736842
20,"Wed, Jan 24, 2018",boston-college,81,63,139,70.55,63.6
21,"Sat, Jan 27, 2018",pittsburgh,60,55,144,70.04761904761905,63.19047619047619
22,"Wed, Jan 31, 2018",georgia-tech,51,55,140,69.18181818181819,62.81818181818182
23,"Sat, Feb 3, 2018",virginia 2,44,59,125,68.08695652173913,62.65217391304348
24,"Mon, Feb 5, 2018",louisville,78,73,130,68.5,63.083333333333336
25,"Sun, Feb 11, 2018",wake-forest,78,70,138,68.88,63.36
26,"Wed, Feb 14, 2018",north-carolina-state,70,74,134,68.92307692307692,63.76923076923077
27,"Sat, Feb 17, 2018",miami-fl,62,55,141,68.66666666666667,63.44444444444444
28,"Wed, Feb 21, 2018",north-carolina 10,74,78,137,68.85714285714286,63.964285714285715
29,"Sat, Feb 24, 2018",duke 5,44,60,121,68.0,63.827586206896555
30,"Wed, Feb 28, 2018",boston-college,70,85,106,68.06666666666666,64.53333333333333
31,"Sat, Mar 3, 2018",clemson 18,55,52,109,67.64516129032258,64.12903225806451
G,Date,opponent,Tm,Opp,109,67.64516129032258,64.12903225806451
32,"Tue, Mar 6, 2018",wake-forest,73,64,118,67.8125,64.125
33,"Wed, Mar 7, 2018",north-carolina 12,59,78,99,67.54545454545455,64.54545454545455
G,Date,opponent,Tm,Opp,99,67.54545454545455,64.54545454545455
34,"Wed, Mar 14, 2018",arizona-state,60,56,103,67.32352941176471,64.29411764705883
35,"Fri, Mar 16, 2018",texas-christian,57,52,108,67.02857142857142,63.94285714285714
36,"Sun, Mar 18, 2018",michigan-state 5,55,53,110,66.69444444444444,63.638888888888886
37,"Fri, Mar 23, 2018",duke 9,65,69,106,66.64864864864865,63.78378378378378
