G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Thu, Nov 16, 2017",old-dominion,76,65,11,76.0,65.0
2,"Fri, Nov 17, 2017",auburn,88,74,25,82.0,69.5
3,"Sun, Nov 19, 2017",clemson,67,60,32,77.0,66.33333333333333
4,"Sun, Nov 26, 2017",la-salle,83,87,28,78.5,71.5
5,"Thu, Nov 30, 2017",south-carolina,76,60,44,78.0,69.2
6,"Sun, Dec 3, 2017",george-washington,67,71,40,76.16666666666667,69.5
7,"Wed, Dec 6, 2017",wisconsin,59,55,44,73.71428571428571,67.42857142857143
8,"Sat, Dec 9, 2017",saint-josephs,81,78,47,74.625,68.75
9,"Wed, Dec 13, 2017",villanova 1,67,87,27,73.77777777777777,70.77777777777777
10,"Sat, Dec 16, 2017",drexel,63,60,30,72.7,69.7
11,"Fri, Dec 22, 2017",georgia,66,84,12,72.0909090909091,71.0
12,"Thu, Dec 28, 2017",tulane,75,85,2,72.33333333333333,72.16666666666667
13,"Sat, Dec 30, 2017",houston,73,76,-1,72.38461538461539,72.46153846153847
14,"Thu, Jan 4, 2018",cincinnati 19,53,55,-3,71.0,71.21428571428571
15,"Sun, Jan 7, 2018",central-florida,39,60,-24,68.86666666666666,70.46666666666667
16,"Wed, Jan 10, 2018",southern-methodist,66,64,-22,68.6875,70.0625
17,"Sat, Jan 13, 2018",memphis,72,75,-25,68.88235294117646,70.3529411764706
18,"Wed, Jan 17, 2018",tulsa,59,58,-24,68.33333333333333,69.66666666666667
19,"Sat, Jan 20, 2018",pennsylvania,60,51,-15,67.89473684210526,68.6842105263158
20,"Wed, Jan 24, 2018",cincinnati 9,42,75,-48,66.6,69.0
21,"Sun, Jan 28, 2018",connecticut,85,57,-20,67.47619047619048,68.42857142857143
22,"Thu, Feb 1, 2018",wichita-state 16,81,79,-18,68.0909090909091,68.9090909090909
23,"Sun, Feb 4, 2018",tulane,83,76,-11,68.73913043478261,69.21739130434783
24,"Wed, Feb 7, 2018",east-carolina,90,73,6,69.625,69.375
25,"Sat, Feb 10, 2018",south-florida,73,55,24,69.76,68.8
26,"Thu, Feb 15, 2018",wichita-state 19,86,93,17,70.38461538461539,69.73076923076923
27,"Sun, Feb 18, 2018",houston,59,80,-4,69.96296296296296,70.11111111111111
28,"Sun, Feb 25, 2018",central-florida,75,56,15,70.14285714285714,69.60714285714286
29,"Wed, Feb 28, 2018",connecticut,66,72,9,70.0,69.6896551724138
30,"Sun, Mar 4, 2018",tulsa,58,76,-9,69.6,69.9
G,Date,opponent,Tm,Opp,-9,69.6,69.9
31,"Thu, Mar 8, 2018",tulane,82,77,-4,70.0,70.12903225806451
32,"Fri, Mar 9, 2018",wichita-state 11,81,89,-12,70.34375,70.71875
G,Date,opponent,Tm,Opp,-12,70.34375,70.71875
33,"Wed, Mar 14, 2018",penn-state,57,63,-18,69.93939393939394,70.48484848484848
