G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",west-virginia 11,88,65,23,88.0,65.0
2,"Fri, Nov 17, 2017",california-santa-barbara,84,65,42,86.0,65.0
3,"Mon, Nov 20, 2017",oklahoma-state,72,55,59,81.33333333333333,61.666666666666664
4,"Tue, Nov 21, 2017",penn-state,98,87,70,85.5,68.0
5,"Fri, Nov 24, 2017",pepperdine,81,65,86,84.6,67.4
6,"Sun, Nov 26, 2017",southern-california 10,75,59,102,83.0,66.0
7,"Thu, Nov 30, 2017",texas-pan-american,78,60,120,82.28571428571429,65.14285714285714
8,"Tue, Dec 5, 2017",arizona,64,67,117,80.0,65.375
9,"Sat, Dec 9, 2017",prairie-view,73,53,137,79.22222222222223,64.0
10,"Wed, Dec 13, 2017",savannah-state,113,66,184,82.6,64.2
11,"Tue, Dec 19, 2017",northern-kentucky,64,58,190,80.9090909090909,63.63636363636363
12,"Thu, Dec 21, 2017",buffalo,89,73,206,81.58333333333333,64.41666666666667
13,"Sat, Dec 30, 2017",alabama,57,79,184,79.6923076923077,65.53846153846153
14,"Tue, Jan 2, 2018",florida,66,83,167,78.71428571428571,66.78571428571429
15,"Sat, Jan 6, 2018",louisiana-state,68,69,166,78.0,66.93333333333334
16,"Tue, Jan 9, 2018",kentucky 21,73,74,165,77.6875,67.375
17,"Sat, Jan 13, 2018",tennessee 24,62,75,152,76.76470588235294,67.82352941176471
18,"Tue, Jan 16, 2018",mississippi,71,69,154,76.44444444444444,67.88888888888889
19,"Sat, Jan 20, 2018",missouri,60,49,165,75.57894736842105,66.89473684210526
20,"Tue, Jan 23, 2018",louisiana-state,65,77,153,75.05,67.4
21,"Sat, Jan 27, 2018",kansas 5,68,79,142,74.71428571428571,67.95238095238095
22,"Tue, Jan 30, 2018",arkansas,80,66,156,74.95454545454545,67.86363636363636
23,"Sat, Feb 3, 2018",south-carolina,83,60,179,75.30434782608695,67.52173913043478
24,"Wed, Feb 7, 2018",auburn 8,81,80,180,75.54166666666667,68.04166666666667
25,"Sat, Feb 10, 2018",kentucky 24,85,74,191,75.92,68.28
26,"Tue, Feb 13, 2018",missouri,58,62,187,75.23076923076923,68.03846153846153
27,"Sat, Feb 17, 2018",arkansas,75,94,168,75.22222222222223,69.0
28,"Tue, Feb 20, 2018",mississippi-state,81,93,156,75.42857142857143,69.85714285714286
29,"Sat, Feb 24, 2018",vanderbilt,89,81,164,75.89655172413794,70.24137931034483
30,"Wed, Feb 28, 2018",georgia,61,60,165,75.4,69.9
31,"Sat, Mar 3, 2018",alabama,68,66,167,75.16129032258064,69.7741935483871
G,Date,opponent,Tm,Opp,167,75.16129032258064,69.7741935483871
32,"Thu, Mar 8, 2018",alabama,70,71,166,75.0,69.8125
G,Date,opponent,Tm,Opp,166,75.0,69.8125
33,"Fri, Mar 16, 2018",providence,73,69,170,74.93939393939394,69.78787878787878
34,"Sun, Mar 18, 2018",north-carolina 10,86,65,191,75.26470588235294,69.6470588235294
35,"Thu, Mar 22, 2018",michigan 7,72,99,164,75.17142857142858,70.48571428571428
