G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",louisiana-monroe,83,73,10,83.0,73.0
2,"Mon, Nov 13, 2017",tennessee-tech,100,63,47,91.5,68.0
3,"Wed, Nov 15, 2017",south-dakota,76,71,52,86.33333333333333,69.0
4,"Mon, Nov 20, 2017",nebraska-omaha,99,66,85,89.5,68.25
5,"Fri, Nov 24, 2017",new-mexico,69,67,87,85.4,68.0
6,"Sat, Nov 25, 2017",st-bonaventure,89,79,97,86.0,69.83333333333333
7,"Wed, Nov 29, 2017",belmont,87,76,108,86.14285714285714,70.71428571428571
8,"Sat, Dec 2, 2017",yale,92,66,134,86.875,70.125
9,"Tue, Dec 5, 2017",southern-methodist,94,83,145,87.66666666666667,71.55555555555556
10,"Sat, Dec 9, 2017",nevada 22,84,80,149,87.3,72.4
11,"Mon, Dec 18, 2017",texas-southern,91,72,168,87.63636363636364,72.36363636363636
12,"Fri, Dec 22, 2017",william-mary,86,75,179,87.5,72.58333333333333
13,"Sat, Dec 30, 2017",oklahoma 12,89,90,178,87.61538461538461,73.92307692307692
14,"Tue, Jan 2, 2018",baylor,81,78,181,87.14285714285714,74.21428571428571
15,"Sat, Jan 6, 2018",kansas 10,84,88,177,86.93333333333334,75.13333333333334
16,"Wed, Jan 10, 2018",texas,98,99,176,87.625,76.625
17,"Sat, Jan 13, 2018",oklahoma 9,97,102,171,88.17647058823529,78.11764705882354
18,"Wed, Jan 17, 2018",iowa-state,96,73,194,88.61111111111111,77.83333333333333
19,"Sat, Jan 20, 2018",kansas-state,68,73,189,87.52631578947368,77.57894736842105
20,"Mon, Jan 22, 2018",west-virginia 7,82,73,198,87.25,77.35
21,"Sat, Jan 27, 2018",vanderbilt,78,81,195,86.80952380952381,77.52380952380952
22,"Tue, Jan 30, 2018",oklahoma-state,79,66,208,86.45454545454545,77.0
23,"Sat, Feb 3, 2018",texas-tech 10,71,83,196,85.78260869565217,77.26086956521739
24,"Tue, Feb 6, 2018",kansas 10,64,71,189,84.875,77.0
25,"Sat, Feb 10, 2018",texas,87,71,205,84.96,76.76
26,"Mon, Feb 12, 2018",west-virginia 20,66,82,189,84.23076923076923,76.96153846153847
27,"Sat, Feb 17, 2018",oklahoma-state,90,70,209,84.44444444444444,76.70370370370371
28,"Wed, Feb 21, 2018",iowa-state,89,83,215,84.60714285714286,76.92857142857143
29,"Sat, Feb 24, 2018",baylor,82,72,225,84.51724137931035,76.75862068965517
30,"Tue, Feb 27, 2018",kansas-state,66,59,232,83.9,76.16666666666667
31,"Sat, Mar 3, 2018",texas-tech 12,75,79,228,83.61290322580645,76.25806451612904
G,Date,opponent,Tm,Opp,228,83.61290322580645,76.25806451612904
32,"Thu, Mar 8, 2018",kansas-state,64,66,226,83.0,75.9375
G,Date,opponent,Tm,Opp,226,83.0,75.9375
33,"Fri, Mar 16, 2018",syracuse,52,57,221,82.06060606060606,75.36363636363636
