G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",northwestern-state,105,59,46,105.0,59.0
2,"Tue, Nov 14, 2017",new-hampshire,78,60,64,91.5,59.5
3,"Sat, Nov 18, 2017",lipscomb,80,57,87,87.66666666666667,58.666666666666664
4,"Thu, Nov 23, 2017",butler,61,48,100,81.0,56.0
5,"Fri, Nov 24, 2017",duke 1,78,85,93,80.4,61.8
6,"Sun, Nov 26, 2017",gonzaga 17,71,76,88,78.83333333333333,64.16666666666667
7,"Wed, Nov 29, 2017",florida-am,82,58,112,79.28571428571429,63.285714285714285
8,"Tue, Dec 5, 2017",virginia-commonwealth,71,67,116,78.25,63.75
9,"Tue, Dec 12, 2017",michigan,52,59,109,75.33333333333333,63.22222222222222
10,"Sat, Dec 16, 2017",louisiana-tech,75,60,124,75.3,62.9
11,"Mon, Dec 18, 2017",tennessee-state,47,46,125,72.72727272727273,61.36363636363637
12,"Fri, Dec 22, 2017",alabama,66,50,141,72.16666666666667,60.416666666666664
13,"Fri, Dec 29, 2017",kansas 11,86,92,135,73.23076923076923,62.84615384615385
14,"Mon, Jan 1, 2018",iowa-state,74,70,139,73.28571428571429,63.357142857142854
15,"Sat, Jan 6, 2018",baylor,60,69,130,72.4,63.733333333333334
16,"Wed, Jan 10, 2018",texas-christian 16,99,98,131,74.0625,65.875
17,"Sat, Jan 13, 2018",oklahoma-state,64,65,130,73.47058823529412,65.82352941176471
18,"Wed, Jan 17, 2018",texas-tech 8,67,58,139,73.11111111111111,65.38888888888889
19,"Sat, Jan 20, 2018",west-virginia 6,51,86,104,71.94736842105263,66.47368421052632
20,"Mon, Jan 22, 2018",iowa-state,73,57,120,72.0,66.0
21,"Sat, Jan 27, 2018",mississippi,85,72,133,72.61904761904762,66.28571428571429
22,"Wed, Jan 31, 2018",texas-tech 10,71,73,131,72.54545454545455,66.5909090909091
23,"Sat, Feb 3, 2018",oklahoma 12,79,74,136,72.82608695652173,66.91304347826087
24,"Wed, Feb 7, 2018",kansas-state,64,67,133,72.45833333333333,66.91666666666667
25,"Sat, Feb 10, 2018",texas-christian,71,87,117,72.4,67.72
26,"Mon, Feb 12, 2018",baylor,73,74,116,72.42307692307692,67.96153846153847
27,"Sat, Feb 17, 2018",oklahoma 23,77,66,127,72.5925925925926,67.88888888888889
28,"Wed, Feb 21, 2018",kansas-state,48,58,117,71.71428571428571,67.53571428571429
29,"Sat, Feb 24, 2018",oklahoma-state,65,64,118,71.48275862068965,67.41379310344827
30,"Mon, Feb 26, 2018",kansas 6,70,80,108,71.43333333333334,67.83333333333333
31,"Sat, Mar 3, 2018",west-virginia 20,87,79,116,71.93548387096774,68.19354838709677
G,Date,opponent,Tm,Opp,116,71.93548387096774,68.19354838709677
32,"Wed, Mar 7, 2018",iowa-state,68,64,120,71.8125,68.0625
33,"Thu, Mar 8, 2018",texas-tech 14,69,73,116,71.72727272727273,68.21212121212122
G,Date,opponent,Tm,Opp,116,71.72727272727273,68.21212121212122
34,"Fri, Mar 16, 2018",nevada 24,83,87,112,72.05882352941177,68.76470588235294
