G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",long-island-university,102,96,6,102.0,96.0
2,"Mon, Nov 13, 2017",southeastern-louisiana,89,66,29,95.5,81.0
3,"Fri, Nov 17, 2017",colorado-state,80,53,56,90.33333333333333,71.66666666666667
4,"Sun, Nov 19, 2017",fordham,63,55,64,83.5,67.5
5,"Wed, Nov 22, 2017",miami-oh,80,59,85,82.8,65.8
6,"Sun, Nov 26, 2017",georgia-state,59,70,74,78.83333333333333,66.5
7,"Wed, Nov 29, 2017",alcorn-state,81,65,90,79.14285714285714,66.28571428571429
8,"Sun, Dec 3, 2017",north-carolina 13,73,97,66,78.375,70.125
9,"Wed, Dec 6, 2017",southern,95,76,85,80.22222222222223,70.77777777777777
10,"Sun, Dec 10, 2017",florida-state,53,72,66,77.5,70.9
11,"Mon, Dec 18, 2017",nicholls-state,76,69,73,77.36363636363636,70.72727272727273
12,"Thu, Dec 21, 2017",south-alabama,77,73,77,77.33333333333333,70.91666666666667
13,"Thu, Dec 28, 2017",temple,85,75,87,77.92307692307692,71.23076923076923
14,"Sun, Dec 31, 2017",tulsa,56,65,78,76.35714285714286,70.78571428571429
15,"Thu, Jan 4, 2018",southern-methodist,73,70,81,76.13333333333334,70.73333333333333
16,"Tue, Jan 9, 2018",memphis,89,96,74,76.9375,72.3125
17,"Sat, Jan 13, 2018",connecticut,57,67,64,75.76470588235294,72.0
18,"Wed, Jan 17, 2018",houston,81,72,73,76.05555555555556,72.0
19,"Sat, Jan 20, 2018",southern-methodist,62,73,62,75.3157894736842,72.05263157894737
20,"Thu, Jan 25, 2018",south-florida,75,80,57,75.3,72.45
21,"Wed, Jan 31, 2018",east-carolina,71,69,59,75.0952380952381,72.28571428571429
22,"Sun, Feb 4, 2018",temple,76,83,52,75.13636363636364,72.77272727272727
23,"Thu, Feb 8, 2018",tulsa,89,91,50,75.73913043478261,73.56521739130434
24,"Sun, Feb 11, 2018",houston,42,73,19,74.33333333333333,73.54166666666667
25,"Wed, Feb 14, 2018",east-carolina,80,82,17,74.56,73.88
26,"Sat, Feb 17, 2018",memphis,63,68,12,74.11538461538461,73.65384615384616
27,"Wed, Feb 21, 2018",wichita-state 13,86,93,5,74.55555555555556,74.37037037037037
28,"Sat, Feb 24, 2018",south-florida,79,68,16,74.71428571428571,74.14285714285714
29,"Thu, Mar 1, 2018",cincinnati 10,49,78,-13,73.82758620689656,74.27586206896552
30,"Sun, Mar 4, 2018",central-florida,51,60,-22,73.06666666666666,73.8
G,Date,opponent,Tm,Opp,-22,73.06666666666666,73.8
31,"Thu, Mar 8, 2018",temple,77,82,-27,73.19354838709677,74.06451612903226
