G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",georgia-tech,63,60,3,63.0,60.0
2,"Wed, Nov 15, 2017",central-arkansas,106,101,8,84.5,80.5
3,"Fri, Nov 17, 2017",south-carolina-state,96,68,36,88.33333333333333,76.33333333333333
4,"Mon, Nov 20, 2017",creighton,89,100,25,88.5,82.25
5,"Tue, Nov 21, 2017",wisconsin,72,70,27,85.2,79.8
6,"Sun, Nov 26, 2017",california-irvine,87,63,51,85.5,77.0
7,"Wed, Nov 29, 2017",cal-state-bakersfield,75,66,60,84.0,75.42857142857143
8,"Sun, Dec 3, 2017",detroit-mercy,106,73,93,86.75,75.125
9,"Sat, Dec 9, 2017",michigan,69,78,84,84.77777777777777,75.44444444444444
10,"Sat, Dec 16, 2017",cincinnati 25,63,77,70,82.6,75.6
11,"Tue, Dec 19, 2017",south-dakota,85,82,73,82.81818181818181,76.18181818181819
12,"Sat, Dec 23, 2017",kentucky 7,83,75,81,82.83333333333333,76.08333333333333
13,"Fri, Dec 29, 2017",washington-state,96,82,95,83.84615384615384,76.53846153846153
14,"Sun, Dec 31, 2017",washington,74,53,116,83.14285714285714,74.85714285714286
15,"Thu, Jan 4, 2018",stanford,99,107,108,84.2,77.0
16,"Sat, Jan 6, 2018",california,107,84,131,85.625,77.4375
17,"Thu, Jan 11, 2018",utah,83,64,150,85.47058823529412,76.6470588235294
18,"Sat, Jan 13, 2018",colorado,59,68,141,84.0,76.16666666666667
19,"Thu, Jan 18, 2018",oregon-state,63,69,135,82.89473684210526,75.78947368421052
20,"Sat, Jan 20, 2018",oregon,91,94,132,83.3,76.7
21,"Thu, Jan 25, 2018",california,70,57,145,82.66666666666667,75.76190476190476
22,"Sat, Jan 27, 2018",stanford,89,73,161,82.95454545454545,75.63636363636364
23,"Sat, Feb 3, 2018",southern-california,82,79,164,82.91304347826087,75.78260869565217
24,"Thu, Feb 8, 2018",arizona 13,82,74,172,82.875,75.70833333333333
25,"Sat, Feb 10, 2018",arizona-state,79,88,163,82.72,76.2
26,"Thu, Feb 15, 2018",oregon-state,75,68,170,82.42307692307692,75.88461538461539
27,"Sat, Feb 17, 2018",oregon,86,78,178,82.55555555555556,75.96296296296296
28,"Thu, Feb 22, 2018",utah,78,84,172,82.39285714285714,76.25
29,"Sun, Feb 25, 2018",colorado,76,80,168,82.17241379310344,76.37931034482759
30,"Sat, Mar 3, 2018",southern-california,83,72,179,82.2,76.23333333333333
G,Date,opponent,Tm,Opp,179,82.2,76.23333333333333
31,"Thu, Mar 8, 2018",stanford,88,77,190,82.38709677419355,76.25806451612904
32,"Fri, Mar 9, 2018",arizona 15,67,78,179,81.90625,76.3125
G,Date,opponent,Tm,Opp,179,81.90625,76.3125
33,"Tue, Mar 13, 2018",st-bonaventure,58,65,172,81.18181818181819,75.96969696969697
