G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",weber-state,59,65,-6,59.0,65.0
2,"Mon, Nov 13, 2017",montana-state,81,73,2,70.0,69.0
3,"Wed, Nov 15, 2017",mississippi-valley-state,83,47,38,74.33333333333333,61.666666666666664
4,"Sat, Nov 18, 2017",gonzaga 17,66,79,25,72.25,66.0
5,"Mon, Nov 20, 2017",portland-state,79,83,21,73.6,69.4
6,"Fri, Nov 24, 2017",northeastern,71,67,25,73.16666666666667,69.0
7,"Sat, Nov 25, 2017",new-hampshire,77,63,39,73.71428571428571,68.14285714285714
8,"Tue, Nov 28, 2017",valparaiso,65,72,32,72.625,68.625
9,"Sat, Dec 2, 2017",brigham-young,66,75,23,71.88888888888889,69.33333333333333
10,"Wed, Dec 6, 2017",california-irvine,62,59,26,70.9,68.3
11,"Sat, Dec 9, 2017",utah,67,77,16,70.54545454545455,69.0909090909091
12,"Sat, Dec 16, 2017",life-pacific,96,62,50,72.66666666666667,68.5
13,"Wed, Dec 20, 2017",youngstown-state,91,74,67,74.07692307692308,68.92307692307692
14,"Wed, Dec 27, 2017",san-jose-state,86,72,81,74.92857142857143,69.14285714285714
15,"Sat, Dec 30, 2017",san-diego-state,59,79,61,73.86666666666666,69.8
16,"Wed, Jan 3, 2018",fresno-state,81,79,63,74.3125,70.375
17,"Sat, Jan 6, 2018",nevada-las-vegas,85,78,70,74.94117647058823,70.82352941176471
18,"Wed, Jan 10, 2018",colorado-state,75,84,61,74.94444444444444,71.55555555555556
19,"Sat, Jan 13, 2018",nevada,57,83,35,74.0,72.15789473684211
20,"Wed, Jan 17, 2018",boise-state,67,71,31,73.65,72.1
21,"Sat, Jan 20, 2018",wyoming,77,85,23,73.80952380952381,72.71428571428571
22,"Wed, Jan 24, 2018",air-force,71,49,45,73.68181818181819,71.63636363636364
23,"Sat, Jan 27, 2018",fresno-state,65,62,48,73.30434782608695,71.21739130434783
24,"Wed, Jan 31, 2018",new-mexico,89,80,57,73.95833333333333,71.58333333333333
25,"Wed, Feb 7, 2018",wyoming,65,83,39,73.6,72.04
26,"Sat, Feb 10, 2018",boise-state,71,65,45,73.5,71.76923076923077
27,"Wed, Feb 14, 2018",new-mexico,63,78,30,73.11111111111111,72.0
28,"Sat, Feb 17, 2018",nevada 24,87,93,24,73.60714285714286,72.75
29,"Sat, Feb 24, 2018",air-force,65,75,14,73.3103448275862,72.82758620689656
30,"Wed, Feb 28, 2018",san-jose-state,62,64,12,72.93333333333334,72.53333333333333
31,"Sat, Mar 3, 2018",nevada-las-vegas,79,67,24,73.12903225806451,72.35483870967742
G,Date,opponent,Tm,Opp,24,73.12903225806451,72.35483870967742
32,"Wed, Mar 7, 2018",colorado-state,76,65,35,73.21875,72.125
33,"Thu, Mar 8, 2018",boise-state,78,75,38,73.36363636363636,72.21212121212122
34,"Fri, Mar 9, 2018",new-mexico,68,83,23,73.20588235294117,72.52941176470588
