G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",austin-peay,73,54,19,73.0,54.0
2,"Mon, Nov 13, 2017",belmont,60,69,10,66.5,61.5
3,"Fri, Nov 17, 2017",north-carolina-asheville,79,76,13,70.66666666666667,66.33333333333333
4,"Sun, Nov 19, 2017",southern-california 10,89,93,9,75.25,73.0
5,"Thu, Nov 23, 2017",virginia,42,68,-17,68.6,72.0
6,"Fri, Nov 24, 2017",seton-hall 20,59,72,-30,67.0,72.0
7,"Tue, Nov 28, 2017",radford,74,62,-18,68.0,70.57142857142857
8,"Sun, Dec 3, 2017",kansas-state,79,84,-23,69.375,72.25
9,"Wed, Dec 6, 2017",middle-tennessee,63,66,-26,68.66666666666667,71.55555555555556
10,"Sun, Dec 17, 2017",arizona-state 5,64,76,-38,68.2,72.0
11,"Wed, Dec 20, 2017",houston-baptist,81,48,-5,69.36363636363636,69.81818181818181
12,"Fri, Dec 22, 2017",alcorn-state,92,51,36,71.25,68.25
13,"Sat, Dec 30, 2017",florida,74,81,29,71.46153846153847,69.23076923076923
14,"Tue, Jan 2, 2018",alabama,76,75,30,71.78571428571429,69.64285714285714
15,"Sat, Jan 6, 2018",south-carolina,60,71,19,71.0,69.73333333333333
16,"Tue, Jan 9, 2018",tennessee 24,84,92,11,71.8125,71.125
17,"Sat, Jan 13, 2018",kentucky 21,67,74,4,71.52941176470588,71.29411764705883
18,"Tue, Jan 16, 2018",mississippi-state,62,80,-14,71.0,71.77777777777777
19,"Sat, Jan 20, 2018",louisiana-state,77,71,-8,71.3157894736842,71.73684210526316
20,"Tue, Jan 23, 2018",tennessee 22,62,67,-13,70.85,71.5
21,"Sat, Jan 27, 2018",texas-christian,81,78,-10,71.33333333333333,71.80952380952381
22,"Tue, Jan 30, 2018",kentucky 21,81,83,-12,71.77272727272727,72.31818181818181
23,"Sat, Feb 3, 2018",auburn 11,81,93,-24,72.17391304347827,73.21739130434783
24,"Wed, Feb 7, 2018",georgia,81,66,-9,72.54166666666667,72.91666666666667
25,"Sat, Feb 10, 2018",arkansas,54,72,-27,71.8,72.88
26,"Wed, Feb 14, 2018",mississippi-state,81,80,-26,72.15384615384616,73.15384615384616
27,"Sat, Feb 17, 2018",florida,71,68,-23,72.11111111111111,72.96296296296296
28,"Tue, Feb 20, 2018",louisiana-state,78,88,-33,72.32142857142857,73.5
29,"Sat, Feb 24, 2018",texas-am,81,89,-41,72.62068965517241,74.03448275862068
30,"Tue, Feb 27, 2018",missouri,66,74,-49,72.4,74.03333333333333
31,"Sat, Mar 3, 2018",mississippi,82,69,-36,72.70967741935483,73.87096774193549
G,Date,opponent,Tm,Opp,-36,72.70967741935483,73.87096774193549
32,"Wed, Mar 7, 2018",georgia,62,78,-52,72.375,74.0
