G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",detroit-mercy,111,79,32,111.0,79.0
2,"Sun, Nov 12, 2017",citadel,132,93,71,121.5,86.0
3,"Thu, Nov 16, 2017",saint-louis,71,77,65,104.66666666666667,83.0
4,"Fri, Nov 17, 2017",washington,103,79,89,104.25,82.0
5,"Tue, Nov 21, 2017",houston-baptist,99,73,115,103.2,80.2
6,"Sat, Nov 25, 2017",morehead-state,96,63,148,102.0,77.33333333333333
7,"Tue, Nov 28, 2017",iowa,79,55,172,98.71428571428571,74.14285714285714
8,"Sat, Dec 2, 2017",mississippi,83,80,175,96.75,74.875
9,"Wed, Dec 6, 2017",radford,95,68,202,96.55555555555556,74.11111111111111
10,"Sun, Dec 10, 2017",maryland-eastern-shore,93,40,255,96.2,70.7
11,"Sat, Dec 16, 2017",kentucky 8,86,93,248,95.27272727272727,72.72727272727273
12,"Tue, Dec 19, 2017",presbyterian,63,55,256,92.58333333333333,71.25
13,"Thu, Dec 28, 2017",north-carolina-at,76,59,273,91.3076923076923,70.3076923076923
14,"Sun, Dec 31, 2017",syracuse,56,68,261,88.78571428571429,70.14285714285714
15,"Wed, Jan 3, 2018",virginia 8,52,78,235,86.33333333333333,70.66666666666667
16,"Sat, Jan 6, 2018",pittsburgh,81,67,249,86.0,70.4375
17,"Wed, Jan 10, 2018",wake-forest,83,75,257,85.82352941176471,70.70588235294117
18,"Sat, Jan 13, 2018",louisville,86,94,249,85.83333333333333,72.0
19,"Sat, Jan 20, 2018",florida-state,82,91,240,85.63157894736842,73.0
20,"Mon, Jan 22, 2018",north-carolina 10,80,69,251,85.35,72.8
21,"Sat, Jan 27, 2018",notre-dame,80,75,256,85.0952380952381,72.9047619047619
22,"Wed, Jan 31, 2018",boston-college,85,80,261,85.0909090909091,73.22727272727273
23,"Sat, Feb 3, 2018",miami-fl,75,84,252,84.65217391304348,73.69565217391305
24,"Wed, Feb 7, 2018",north-carolina-state,85,75,262,84.66666666666667,73.75
25,"Sat, Feb 10, 2018",virginia 2,61,60,263,83.72,73.2
26,"Wed, Feb 14, 2018",duke 12,52,74,241,82.5,73.23076923076923
27,"Sat, Feb 17, 2018",georgia-tech,76,56,261,82.25925925925925,72.5925925925926
28,"Wed, Feb 21, 2018",clemson 15,65,58,268,81.64285714285714,72.07142857142857
29,"Sat, Feb 24, 2018",louisville,68,75,261,81.17241379310344,72.17241379310344
30,"Mon, Feb 26, 2018",duke 5,64,63,262,80.6,71.86666666666666
31,"Sat, Mar 3, 2018",miami-fl,68,69,261,80.19354838709677,71.7741935483871
G,Date,opponent,Tm,Opp,261,80.19354838709677,71.7741935483871
32,"Wed, Mar 7, 2018",notre-dame,65,71,255,79.71875,71.75
G,Date,opponent,Tm,Opp,255,79.71875,71.75
33,"Thu, Mar 15, 2018",alabama,83,86,252,79.81818181818181,72.18181818181819
