G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 12, 2017",texas-southern,86,84,2,86.0,84.0
2,"Wed, Nov 15, 2017",seattle,75,59,18,80.5,71.5
3,"Sat, Nov 18, 2017",idaho-state,83,62,39,81.33333333333333,68.33333333333333
4,"Thu, Nov 23, 2017",saint-josephs,75,71,43,79.75,69.0
5,"Fri, Nov 24, 2017",saint-marys-ca 21,84,79,48,80.6,71.0
6,"Sun, Nov 26, 2017",san-diego-state,93,86,55,82.66666666666667,73.5
7,"Sat, Dec 2, 2017",california-davis,67,81,41,80.42857142857143,74.57142857142857
8,"Wed, Dec 6, 2017",idaho,64,91,14,78.375,76.625
9,"Sat, Dec 9, 2017",texas-el-paso,69,76,7,77.33333333333333,76.55555555555556
10,"Sat, Dec 16, 2017",iupui,72,59,20,76.8,74.8
11,"Wed, Dec 20, 2017",kansas-state,65,68,17,75.72727272727273,74.18181818181819
12,"Fri, Dec 22, 2017",bethune-cookman,86,58,45,76.58333333333333,72.83333333333333
13,"Fri, Dec 29, 2017",ucla,82,96,31,77.0,74.61538461538461
14,"Sun, Dec 31, 2017",southern-california,71,89,13,76.57142857142857,75.64285714285714
15,"Sat, Jan 6, 2018",washington,65,70,8,75.8,75.26666666666667
16,"Thu, Jan 11, 2018",stanford,70,79,-1,75.4375,75.5
17,"Sat, Jan 13, 2018",california,78,53,24,75.58823529411765,74.17647058823529
18,"Thu, Jan 18, 2018",colorado,73,82,15,75.44444444444444,74.61111111111111
19,"Sun, Jan 21, 2018",utah,69,82,2,75.10526315789474,75.0
20,"Sun, Jan 28, 2018",washington,62,80,-16,74.45,75.25
21,"Wed, Jan 31, 2018",arizona 9,72,100,-44,74.33333333333333,76.42857142857143
22,"Sun, Feb 4, 2018",arizona-state 25,78,88,-54,74.5,76.95454545454545
23,"Thu, Feb 8, 2018",oregon-state,62,94,-86,73.95652173913044,77.69565217391305
24,"Sun, Feb 11, 2018",oregon,57,84,-113,73.25,77.95833333333333
25,"Thu, Feb 15, 2018",colorado,73,69,-109,73.24,77.6
26,"Sat, Feb 17, 2018",utah,70,77,-116,73.11538461538461,77.57692307692308
27,"Thu, Feb 22, 2018",california,78,76,-114,73.29629629629629,77.51851851851852
28,"Sat, Feb 24, 2018",stanford,84,86,-116,73.67857142857143,77.82142857142857
29,"Thu, Mar 1, 2018",oregon,78,76,-114,73.82758620689656,77.75862068965517
30,"Sat, Mar 3, 2018",oregon-state,67,92,-139,73.6,78.23333333333333
G,Date,opponent,Tm,Opp,-139,73.6,78.23333333333333
31,"Wed, Mar 7, 2018",oregon,62,64,-141,73.2258064516129,77.7741935483871
