G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",belmont,86,82,4,86.0,82.0
2,"Sun, Nov 12, 2017",eastern-washington,79,69,14,82.5,75.5
3,"Thu, Nov 16, 2017",providence,70,77,7,78.33333333333333,76.0
4,"Fri, Nov 17, 2017",virginia-tech,79,103,-17,78.5,82.75
5,"Fri, Nov 24, 2017",seattle,89,84,-12,80.6,83.0
6,"Sun, Nov 26, 2017",california-davis,77,70,-5,80.0,80.83333333333333
7,"Tue, Nov 28, 2017",kennesaw-state,85,71,9,80.71428571428571,79.42857142857143
8,"Sun, Dec 3, 2017",nebraska-omaha,86,73,22,81.375,78.625
9,"Wed, Dec 6, 2017",kansas 2,74,65,31,80.55555555555556,77.11111111111111
10,"Sun, Dec 10, 2017",gonzaga 12,70,97,4,79.5,79.1
11,"Sun, Dec 17, 2017",loyola-marymount,80,78,6,79.54545454545455,79.0
12,"Tue, Dec 19, 2017",bethune-cookman,106,55,57,81.75,77.0
13,"Fri, Dec 22, 2017",montana,66,63,60,80.53846153846153,75.92307692307692
14,"Fri, Dec 29, 2017",southern-california,88,81,67,81.07142857142857,76.28571428571429
15,"Sun, Dec 31, 2017",ucla,53,74,46,79.2,76.13333333333334
16,"Sat, Jan 6, 2018",washington-state,70,65,51,78.625,75.4375
17,"Thu, Jan 11, 2018",california,66,56,61,77.88235294117646,74.29411764705883
18,"Sat, Jan 13, 2018",stanford,64,73,52,77.11111111111111,74.22222222222223
19,"Thu, Jan 18, 2018",utah,62,70,44,76.3157894736842,74.0
20,"Sat, Jan 20, 2018",colorado,72,62,54,76.1,73.4
21,"Sun, Jan 28, 2018",washington-state,80,62,72,76.28571428571429,72.85714285714286
22,"Thu, Feb 1, 2018",arizona-state 25,68,64,76,75.9090909090909,72.45454545454545
23,"Sat, Feb 3, 2018",arizona 9,78,75,79,76.0,72.56521739130434
24,"Thu, Feb 8, 2018",oregon,40,65,54,74.5,72.25
25,"Sat, Feb 10, 2018",oregon-state,94,97,51,75.28,73.24
26,"Thu, Feb 15, 2018",utah,58,70,39,74.61538461538461,73.11538461538461
27,"Sat, Feb 17, 2018",colorado,82,59,62,74.88888888888889,72.5925925925926
28,"Thu, Feb 22, 2018",stanford,78,94,46,75.0,73.35714285714286
29,"Sat, Feb 24, 2018",california,68,51,63,74.75862068965517,72.58620689655173
30,"Thu, Mar 1, 2018",oregon-state,79,77,65,74.9,72.73333333333333
31,"Sat, Mar 3, 2018",oregon,64,72,57,74.54838709677419,72.70967741935483
G,Date,opponent,Tm,Opp,57,74.54838709677419,72.70967741935483
32,"Wed, Mar 7, 2018",oregon-state,66,69,54,74.28125,72.59375
G,Date,opponent,Tm,Opp,54,74.28125,72.59375
33,"Wed, Mar 14, 2018",boise-state,77,74,57,74.36363636363636,72.63636363636364
34,"Mon, Mar 19, 2018",saint-marys-ca 25,81,85,53,74.55882352941177,73.0
