G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",texas-am 25,65,88,-23,65.0,88.0
2,"Wed, Nov 15, 2017",american,98,64,11,81.5,76.0
3,"Sat, Nov 18, 2017",morgan-state,111,48,74,91.33333333333333,66.66666666666667
4,"Mon, Nov 20, 2017",long-beach-state,91,62,103,91.25,65.5
5,"Thu, Nov 23, 2017",marist,84,78,109,89.8,68.0
6,"Fri, Nov 24, 2017",central-florida,83,45,147,88.66666666666667,64.16666666666667
7,"Sun, Nov 26, 2017",missouri,83,79,151,87.85714285714286,66.28571428571429
8,"Thu, Nov 30, 2017",njit,102,69,184,89.625,66.625
9,"Tue, Dec 5, 2017",virginia 15,68,61,191,87.22222222222223,66.0
10,"Sat, Dec 9, 2017",pittsburgh,69,60,200,85.4,65.4
11,"Wed, Dec 20, 2017",coppin-state,77,38,239,84.63636363636364,62.90909090909091
12,"Sat, Dec 23, 2017",fordham,86,69,256,84.75,63.416666666666664
13,"Fri, Dec 29, 2017",oklahoma-state,85,79,262,84.76923076923077,64.61538461538461
14,"Mon, Jan 1, 2018",kansas-state,77,69,270,84.21428571428571,64.92857142857143
15,"Sat, Jan 6, 2018",oklahoma 7,89,76,283,84.53333333333333,65.66666666666667
16,"Tue, Jan 9, 2018",baylor,57,54,286,82.8125,64.9375
17,"Sat, Jan 13, 2018",texas-tech 8,71,72,285,82.11764705882354,65.3529411764706
18,"Mon, Jan 15, 2018",kansas 10,66,71,280,81.22222222222223,65.66666666666667
19,"Sat, Jan 20, 2018",texas,86,51,315,81.47368421052632,64.89473684210526
20,"Mon, Jan 22, 2018",texas-christian,73,82,306,81.05,65.75
21,"Sat, Jan 27, 2018",kentucky,76,83,299,80.80952380952381,66.57142857142857
22,"Wed, Jan 31, 2018",iowa-state,77,93,283,80.63636363636364,67.77272727272727
23,"Sat, Feb 3, 2018",kansas-state,89,51,321,81.0,67.04347826086956
24,"Mon, Feb 5, 2018",oklahoma 17,75,73,323,80.75,67.29166666666667
25,"Sat, Feb 10, 2018",oklahoma-state,85,88,320,80.92,68.12
26,"Mon, Feb 12, 2018",texas-christian,82,66,336,80.96153846153847,68.03846153846153
27,"Sat, Feb 17, 2018",kansas 13,69,77,328,80.51851851851852,68.37037037037037
28,"Tue, Feb 20, 2018",baylor,71,60,339,80.17857142857143,68.07142857142857
29,"Sat, Feb 24, 2018",iowa-state,85,70,354,80.34482758620689,68.13793103448276
30,"Mon, Feb 26, 2018",texas-tech 12,84,74,364,80.46666666666667,68.33333333333333
31,"Sat, Mar 3, 2018",texas,79,87,356,80.41935483870968,68.93548387096774
G,Date,opponent,Tm,Opp,356,80.41935483870968,68.93548387096774
32,"Thu, Mar 8, 2018",baylor,78,65,369,80.34375,68.8125
33,"Fri, Mar 9, 2018",texas-tech 14,66,63,372,79.9090909090909,68.63636363636364
34,"Sat, Mar 10, 2018",kansas 9,70,81,361,79.61764705882354,69.0
G,Date,opponent,Tm,Opp,361,79.61764705882354,69.0
35,"Fri, Mar 16, 2018",murray-state,85,68,378,79.77142857142857,68.97142857142858
36,"Sun, Mar 18, 2018",marshall,94,71,401,80.16666666666667,69.02777777777777
37,"Fri, Mar 23, 2018",villanova 2,78,90,389,80.10810810810811,69.5945945945946
