G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",missouri-kansas-city,109,57,52,109.0,57.0
2,"Mon, Nov 13, 2017",college-of-charleston,81,63,70,95.0,60.0
3,"Mon, Nov 20, 2017",california,92,82,80,94.0,67.33333333333333
4,"Tue, Nov 21, 2017",marquette,80,66,94,90.5,67.0
5,"Wed, Nov 22, 2017",notre-dame 13,66,67,93,85.6,67.0
6,"Tue, Nov 28, 2017",savannah-state,112,66,139,90.0,66.83333333333333
7,"Sat, Dec 2, 2017",baylor 16,69,62,146,87.0,66.14285714285714
8,"Tue, Dec 5, 2017",south-dakota-state,95,85,156,88.0,68.5
9,"Sat, Dec 9, 2017",oklahoma-state,78,66,168,86.88888888888889,68.22222222222223
10,"Sat, Dec 16, 2017",oklahoma,83,91,160,86.5,70.5
11,"Tue, Dec 19, 2017",arkansas-state,89,80,169,86.72727272727273,71.36363636363636
12,"Fri, Dec 22, 2017",florida-gulf-coast,75,65,179,85.75,70.83333333333333
13,"Sat, Dec 30, 2017",connecticut,72,62,189,84.6923076923077,70.15384615384616
14,"Thu, Jan 4, 2018",houston,81,63,207,84.42857142857143,69.64285714285714
15,"Sun, Jan 7, 2018",south-florida,95,57,245,85.13333333333334,68.8
16,"Thu, Jan 11, 2018",east-carolina,95,60,280,85.75,68.25
17,"Sat, Jan 13, 2018",tulsa,72,69,283,84.94117647058823,68.29411764705883
18,"Wed, Jan 17, 2018",southern-methodist,78,83,278,84.55555555555556,69.11111111111111
19,"Sat, Jan 20, 2018",houston,59,73,264,83.21052631578948,69.3157894736842
20,"Thu, Jan 25, 2018",central-florida,81,62,283,83.1,68.95
21,"Sun, Jan 28, 2018",tulsa,90,71,302,83.42857142857143,69.04761904761905
22,"Thu, Feb 1, 2018",temple,79,81,300,83.22727272727273,69.5909090909091
23,"Tue, Feb 6, 2018",memphis,85,65,320,83.30434782608695,69.3913043478261
24,"Sat, Feb 10, 2018",connecticut,95,74,341,83.79166666666667,69.58333333333333
25,"Thu, Feb 15, 2018",temple,93,86,348,84.16,70.24
26,"Sun, Feb 18, 2018",cincinnati 5,76,72,352,83.84615384615384,70.3076923076923
27,"Wed, Feb 21, 2018",tulane,93,86,359,84.18518518518519,70.88888888888889
28,"Sat, Feb 24, 2018",southern-methodist,84,78,365,84.17857142857143,71.14285714285714
29,"Thu, Mar 1, 2018",central-florida,75,71,369,83.86206896551724,71.13793103448276
30,"Sun, Mar 4, 2018",cincinnati 10,61,62,368,83.1,70.83333333333333
G,Date,opponent,Tm,Opp,368,83.1,70.83333333333333
31,"Fri, Mar 9, 2018",temple,89,81,376,83.29032258064517,71.16129032258064
32,"Sat, Mar 10, 2018",houston 21,74,77,373,83.0,71.34375
G,Date,opponent,Tm,Opp,373,83.0,71.34375
33,"Fri, Mar 16, 2018",marshall,75,81,367,82.75757575757575,71.63636363636364
