G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",south-carolina-state,85,50,35,85.0,50.0
2,"Sun, Nov 12, 2017",yale,89,61,63,87.0,55.5
3,"Thu, Nov 16, 2017",xavier 15,70,80,53,81.33333333333333,63.666666666666664
4,"Mon, Nov 20, 2017",baylor 22,65,70,48,77.25,65.25
5,"Tue, Nov 21, 2017",californiala 24,70,72,46,75.8,66.6
6,"Fri, Nov 24, 2017",milwaukee,71,49,68,75.0,63.666666666666664
7,"Mon, Nov 27, 2017",virginia 18,37,49,56,69.57142857142857,61.57142857142857
8,"Sat, Dec 2, 2017",ohio-state,58,83,31,68.125,64.25
9,"Mon, Dec 4, 2017",penn-state,64,63,32,67.66666666666667,64.11111111111111
10,"Wed, Dec 6, 2017",temple,55,59,28,66.4,63.6
11,"Sat, Dec 9, 2017",marquette,63,82,9,66.0909090909091,65.27272727272727
12,"Wed, Dec 13, 2017",western-kentucky,81,80,10,67.33333333333333,66.5
13,"Sat, Dec 23, 2017",green-bay,81,60,31,68.38461538461539,66.0
14,"Wed, Dec 27, 2017",chicago-state,82,70,43,69.35714285714286,66.28571428571429
15,"Sat, Dec 30, 2017",massachusetts-lowell,82,53,72,70.2,65.4
16,"Tue, Jan 2, 2018",indiana,71,61,82,70.25,65.125
17,"Fri, Jan 5, 2018",rutgers,60,64,78,69.6470588235294,65.05882352941177
18,"Tue, Jan 9, 2018",nebraska,59,63,74,69.05555555555556,64.94444444444444
19,"Tue, Jan 16, 2018",purdue 3,50,78,46,68.05263157894737,65.63157894736842
20,"Fri, Jan 19, 2018",illinois,75,50,71,68.4,64.85
21,"Tue, Jan 23, 2018",iowa,67,85,53,68.33333333333333,65.80952380952381
22,"Fri, Jan 26, 2018",michigan-state 6,61,76,38,68.0,66.27272727272727
23,"Mon, Jan 29, 2018",nebraska,63,74,27,67.78260869565217,66.6086956521739
24,"Thu, Feb 1, 2018",northwestern,52,60,19,67.125,66.33333333333333
25,"Sun, Feb 4, 2018",maryland,63,68,14,66.96,66.4
26,"Thu, Feb 8, 2018",illinois,78,69,23,67.38461538461539,66.5
27,"Sun, Feb 11, 2018",michigan 20,72,83,12,67.55555555555556,67.11111111111111
28,"Thu, Feb 15, 2018",purdue 6,57,53,16,67.17857142857143,66.60714285714286
29,"Mon, Feb 19, 2018",minnesota,73,63,26,67.37931034482759,66.48275862068965
30,"Thu, Feb 22, 2018",northwestern,70,64,32,67.46666666666667,66.4
31,"Sun, Feb 25, 2018",michigan-state 2,63,68,27,67.3225806451613,66.45161290322581
G,Date,opponent,Tm,Opp,27,67.3225806451613,66.45161290322581
32,"Thu, Mar 1, 2018",maryland,59,54,32,67.0625,66.0625
33,"Fri, Mar 2, 2018",michigan-state 2,60,63,29,66.84848484848484,65.96969696969697
