G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",chattanooga,74,65,9,74.0,65.0
2,"Mon, Nov 13, 2017",oregon-state,75,66,18,74.5,65.5
3,"Mon, Nov 20, 2017",south-dakota-state,77,65,30,75.33333333333333,65.33333333333333
4,"Tue, Nov 21, 2017",louisiana-lafayette,70,61,39,74.0,64.25
5,"Wed, Nov 22, 2017",cincinnati 12,53,78,14,69.8,67.0
6,"Sun, Nov 26, 2017",new-mexico-highlands,83,70,27,72.0,67.5
7,"Wed, Nov 29, 2017",denver,78,88,17,72.85714285714286,70.42857142857143
8,"Sat, Dec 2, 2017",drake,96,89,24,75.75,72.75
9,"Wed, Dec 6, 2017",south-carolina,64,80,8,74.44444444444444,73.55555555555556
10,"Sat, Dec 9, 2017",pacific,86,72,22,75.6,73.4
11,"Tue, Dec 12, 2017",eastern-washington,93,88,27,77.18181818181819,74.72727272727273
12,"Sat, Dec 16, 2017",texas-southern,72,66,33,76.75,74.0
13,"Tue, Dec 19, 2017",northern-colorado,84,91,26,77.3076923076923,75.3076923076923
14,"Wed, Dec 27, 2017",san-diego-state,82,69,39,77.64285714285714,74.85714285714286
15,"Wed, Jan 3, 2018",nevada,83,92,30,78.0,76.0
16,"Sat, Jan 6, 2018",boise-state,79,78,31,78.0625,76.125
17,"Wed, Jan 10, 2018",new-mexico,66,75,22,77.3529411764706,76.05882352941177
18,"Sat, Jan 13, 2018",colorado-state,73,78,17,77.11111111111111,76.16666666666667
19,"Sat, Jan 20, 2018",utah-state,85,77,25,77.52631578947368,76.21052631578948
20,"Wed, Jan 24, 2018",nevada 23,104,103,26,78.85,77.55
21,"Sat, Jan 27, 2018",san-jose-state,90,86,30,79.38095238095238,77.95238095238095
22,"Wed, Jan 31, 2018",colorado-state,91,86,35,79.9090909090909,78.31818181818181
23,"Sat, Feb 3, 2018",fresno-state,62,80,17,79.1304347826087,78.3913043478261
24,"Wed, Feb 7, 2018",utah-state,83,65,35,79.29166666666667,77.83333333333333
25,"Sat, Feb 10, 2018",nevada-las-vegas,70,85,20,78.92,78.12
26,"Wed, Feb 14, 2018",san-diego-state,77,87,10,78.84615384615384,78.46153846153847
27,"Sat, Feb 17, 2018",san-jose-state,89,75,24,79.22222222222223,78.33333333333333
28,"Tue, Feb 20, 2018",new-mexico,114,119,19,80.46428571428571,79.78571428571429
29,"Sat, Feb 24, 2018",fresno-state,78,68,29,80.37931034482759,79.37931034482759
30,"Wed, Feb 28, 2018",air-force,66,54,41,79.9,78.53333333333333
31,"Sat, Mar 3, 2018",boise-state,87,95,33,80.12903225806451,79.06451612903226
G,Date,opponent,Tm,Opp,33,80.12903225806451,79.06451612903226
32,"Wed, Mar 7, 2018",san-jose-state,74,61,46,79.9375,78.5
33,"Thu, Mar 8, 2018",new-mexico,75,85,36,79.78787878787878,78.6969696969697
