G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",morehead-state,101,49,52,101.0,49.0
2,"Mon, Nov 13, 2017",rider,101,75,78,101.0,62.0
3,"Thu, Nov 16, 2017",wisconsin,80,70,88,94.0,64.66666666666667
4,"Mon, Nov 20, 2017",hampton,96,60,124,94.5,63.5
5,"Thu, Nov 23, 2017",george-washington,83,64,143,92.2,63.6
6,"Fri, Nov 24, 2017",arizona-state,86,102,127,91.16666666666667,70.0
7,"Tue, Nov 28, 2017",baylor 16,76,63,140,89.0,69.0
8,"Sat, Dec 2, 2017",cincinnati 11,89,76,153,89.0,69.875
9,"Wed, Dec 6, 2017",kent-state,96,70,179,89.77777777777777,69.88888888888889
10,"Sat, Dec 9, 2017",colorado,96,69,206,90.4,69.8
11,"Sat, Dec 16, 2017",east-tennessee-state,68,66,208,88.36363636363636,69.45454545454545
12,"Tue, Dec 19, 2017",marshall,81,77,212,87.75,70.08333333333333
13,"Fri, Dec 22, 2017",northern-iowa,77,67,222,86.92307692307692,69.84615384615384
14,"Wed, Dec 27, 2017",marquette,91,87,226,87.21428571428571,71.07142857142857
15,"Sat, Dec 30, 2017",depaul,77,72,231,86.53333333333333,71.13333333333334
16,"Tue, Jan 2, 2018",butler,86,79,238,86.5,71.625
17,"Sat, Jan 6, 2018",providence,72,81,229,85.6470588235294,72.17647058823529
18,"Wed, Jan 10, 2018",villanova 1,65,89,205,84.5,73.11111111111111
19,"Sat, Jan 13, 2018",creighton 25,92,70,227,84.89473684210526,72.94736842105263
20,"Wed, Jan 17, 2018",st-johns-ny,88,82,233,85.05,73.4
21,"Sat, Jan 20, 2018",seton-hall 19,73,64,242,84.47619047619048,72.95238095238095
22,"Wed, Jan 24, 2018",marquette,89,70,261,84.68181818181819,72.81818181818181
23,"Tue, Jan 30, 2018",st-johns-ny,73,68,266,84.17391304347827,72.6086956521739
24,"Sat, Feb 3, 2018",georgetown,96,91,271,84.66666666666667,73.375
25,"Tue, Feb 6, 2018",butler,98,93,276,85.2,74.16
26,"Sat, Feb 10, 2018",creighton,72,71,277,84.6923076923077,74.03846153846153
27,"Wed, Feb 14, 2018",seton-hall,102,90,289,85.33333333333333,74.62962962962963
28,"Sat, Feb 17, 2018",villanova 3,79,95,273,85.10714285714286,75.35714285714286
29,"Wed, Feb 21, 2018",georgetown,89,77,285,85.24137931034483,75.41379310344827
30,"Wed, Feb 28, 2018",providence,84,74,295,85.2,75.36666666666666
31,"Sat, Mar 3, 2018",depaul,65,62,298,84.54838709677419,74.93548387096774
G,Date,opponent,Tm,Opp,298,84.54838709677419,74.93548387096774
32,"Thu, Mar 8, 2018",st-johns-ny,88,60,326,84.65625,74.46875
33,"Fri, Mar 9, 2018",providence,72,75,323,84.27272727272727,74.48484848484848
G,Date,opponent,Tm,Opp,323,84.27272727272727,74.48484848484848
34,"Fri, Mar 16, 2018",texas-southern,102,83,342,84.79411764705883,74.73529411764706
35,"Sun, Mar 18, 2018",florida-state,70,75,337,84.37142857142857,74.74285714285715
