G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",oral-roberts,76,61,15,76.0,61.0
2,"Tue, Nov 15, 2016",oregon 4,66,49,32,71.0,55.0
3,"Fri, Nov 18, 2016",florida-gulf-coast,81,72,41,74.33333333333333,60.666666666666664
4,"Wed, Nov 23, 2016",virginia-commonwealth,71,63,49,73.5,61.25
5,"Thu, Nov 24, 2016",michigan-state 24,73,58,64,73.4,60.6
6,"Fri, Nov 25, 2016",louisville 10,66,63,67,72.16666666666667,61.0
7,"Wed, Nov 30, 2016",sam-houston-state,79,45,101,73.14285714285714,58.714285714285715
8,"Sat, Dec 3, 2016",xavier 7,76,61,116,73.5,59.0
9,"Wed, Dec 14, 2016",southern,89,59,146,75.22222222222223,59.0
10,"Sat, Dec 17, 2016",jackson-state,82,57,171,75.9,58.8
11,"Sun, Dec 18, 2016",john-brown,107,53,225,78.72727272727273,58.27272727272727
12,"Wed, Dec 21, 2016",texas-southern,89,63,251,79.58333333333333,58.666666666666664
13,"Fri, Dec 30, 2016",oklahoma,76,50,277,79.3076923076923,58.0
14,"Wed, Jan 4, 2017",iowa-state,65,63,279,78.28571428571429,58.357142857142854
15,"Sat, Jan 7, 2017",oklahoma-state,61,57,283,77.13333333333334,58.266666666666666
16,"Tue, Jan 10, 2017",west-virginia 10,68,89,262,76.5625,60.1875
17,"Sat, Jan 14, 2017",kansas-state 25,77,68,271,76.58823529411765,60.64705882352941
18,"Tue, Jan 17, 2017",texas,74,64,281,76.44444444444444,60.833333333333336
19,"Sat, Jan 21, 2017",texas-christian,62,53,290,75.6842105263158,60.421052631578945
20,"Wed, Jan 25, 2017",texas-tech,65,61,294,75.15,60.45
21,"Sat, Jan 28, 2017",mississippi,78,75,297,75.28571428571429,61.142857142857146
22,"Wed, Feb 1, 2017",kansas 3,68,73,292,74.95454545454545,61.68181818181818
23,"Sat, Feb 4, 2017",kansas-state,54,56,290,74.04347826086956,61.43478260869565
24,"Wed, Feb 8, 2017",oklahoma-state,72,69,293,73.95833333333333,61.75
25,"Sat, Feb 11, 2017",texas-christian,70,52,311,73.8,61.36
26,"Mon, Feb 13, 2017",texas-tech,78,84,305,73.96153846153847,62.23076923076923
27,"Sat, Feb 18, 2017",kansas 3,65,67,303,73.62962962962963,62.407407407407405
28,"Tue, Feb 21, 2017",oklahoma,60,54,309,73.14285714285714,62.107142857142854
29,"Sat, Feb 25, 2017",iowa-state,69,72,306,73.0,62.44827586206897
30,"Mon, Feb 27, 2017",west-virginia 10,71,62,315,72.93333333333334,62.43333333333333
31,"Sat, Mar 4, 2017",texas,75,64,326,73.0,62.483870967741936
G,Date,opponent,Tm,Opp,326,73.0,62.483870967741936
32,"Thu, Mar 9, 2017",kansas-state,64,70,320,72.71875,62.71875
G,Date,opponent,Tm,Opp,320,72.71875,62.71875
33,"Fri, Mar 17, 2017",new-mexico-state,91,73,338,73.27272727272727,63.03030303030303
34,"Sun, Mar 19, 2017",southern-california,82,78,342,73.52941176470588,63.470588235294116
35,"Fri, Mar 24, 2017",south-carolina,50,70,322,72.85714285714286,63.65714285714286
