G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",nicholls-state,73,79,-6,73.0,79.0
2,"Tue, Nov 15, 2016",maryland-eastern-shore,73,57,10,73.0,68.0
3,"Sun, Nov 20, 2016",stony-brook,82,75,17,76.0,70.33333333333333
4,"Tue, Nov 22, 2016",towson,80,70,27,77.0,70.25
5,"Fri, Nov 25, 2016",kansas-state,54,72,9,72.4,70.6
6,"Sat, Nov 26, 2016",richmond,54,67,-4,69.33333333333333,70.0
7,"Sat, Dec 3, 2016",dartmouth,88,70,14,72.0,70.0
8,"Wed, Dec 7, 2016",harvard,66,74,6,71.25,70.5
9,"Fri, Dec 9, 2016",hartford,63,65,4,70.33333333333333,69.88888888888889
10,"Mon, Dec 12, 2016",auburn,72,71,5,70.5,70.0
11,"Sun, Dec 18, 2016",sacred-heart,82,75,12,71.54545454545455,70.45454545454545
12,"Wed, Dec 21, 2016",fairfield,83,89,6,72.5,72.0
13,"Fri, Dec 23, 2016",providence,79,67,18,73.0,71.61538461538461
14,"Sun, Jan 1, 2017",syracuse,96,81,33,74.64285714285714,72.28571428571429
15,"Tue, Jan 3, 2017",wake-forest,66,79,20,74.06666666666666,72.73333333333333
16,"Sat, Jan 7, 2017",duke 8,82,93,9,74.5625,74.0
17,"Wed, Jan 11, 2017",north-carolina-state,74,66,17,74.52941176470588,73.52941176470588
18,"Sat, Jan 14, 2017",syracuse,53,76,-6,73.33333333333333,73.66666666666667
19,"Wed, Jan 18, 2017",virginia 16,54,71,-23,72.3157894736842,73.52631578947368
20,"Sat, Jan 21, 2017",north-carolina 9,82,90,-31,72.8,74.35
21,"Wed, Jan 25, 2017",miami-fl,77,78,-32,73.0,74.52380952380952
22,"Sun, Jan 29, 2017",virginia-tech,79,85,-38,73.27272727272727,75.0
23,"Tue, Jan 31, 2017",wake-forest,80,85,-43,73.56521739130434,75.43478260869566
24,"Sat, Feb 4, 2017",louisville 6,67,90,-66,73.29166666666667,76.04166666666667
25,"Wed, Feb 8, 2017",pittsburgh,72,83,-77,73.24,76.32
26,"Sat, Feb 11, 2017",georgia-tech,54,65,-88,72.5,75.88461538461539
27,"Tue, Feb 14, 2017",notre-dame 25,76,84,-96,72.62962962962963,76.18518518518519
28,"Mon, Feb 20, 2017",florida-state 19,72,104,-128,72.60714285714286,77.17857142857143
29,"Sat, Feb 25, 2017",virginia-tech,75,91,-144,72.6896551724138,77.65517241379311
30,"Wed, Mar 1, 2017",notre-dame 19,66,82,-160,72.46666666666667,77.8
31,"Sat, Mar 4, 2017",clemson,68,82,-174,72.3225806451613,77.93548387096774
G,Date,opponent,Tm,Opp,-174,72.3225806451613,77.93548387096774
32,"Tue, Mar 7, 2017",wake-forest,78,92,-188,72.5,78.375
