G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 12, 2016",northern-colorado,89,52,37,89.0,52.0
2,"Wed, Nov 16, 2016",northwestern,70,68,39,79.5,60.0
3,"Sat, Nov 19, 2016",bucknell,86,60,65,81.66666666666667,60.0
4,"Mon, Nov 21, 2016",norfolk-state,91,55,101,84.0,58.75
5,"Thu, Nov 24, 2016",vanderbilt,76,66,111,82.4,60.2
6,"Fri, Nov 25, 2016",arizona 8,69,65,115,80.16666666666667,61.0
7,"Mon, Nov 28, 2016",utah,68,59,124,78.42857142857143,60.714285714285715
8,"Sat, Dec 3, 2016",central-arkansas,82,58,148,78.875,60.375
9,"Wed, Dec 7, 2016",indiana-state,71,72,147,78.0,61.666666666666664
10,"Sat, Dec 10, 2016",cincinnati 22,75,65,157,77.7,62.0
11,"Sat, Dec 17, 2016",indiana 9,83,78,162,78.18181818181819,63.45454545454545
12,"Wed, Dec 21, 2016",vermont,81,69,174,78.41666666666667,63.916666666666664
13,"Thu, Dec 29, 2016",st-johns-ny,73,76,171,78.0,64.84615384615384
14,"Sun, Jan 1, 2017",providence,78,61,188,78.0,64.57142857142857
15,"Wed, Jan 4, 2017",villanova 1,66,58,196,77.2,64.13333333333334
16,"Sat, Jan 7, 2017",georgetown,85,76,205,77.6875,64.875
17,"Wed, Jan 11, 2017",creighton 8,64,75,194,76.88235294117646,65.47058823529412
18,"Sat, Jan 14, 2017",xavier 15,83,78,199,77.22222222222223,66.16666666666667
19,"Mon, Jan 16, 2017",marquette,88,80,207,77.78947368421052,66.89473684210526
20,"Sat, Jan 21, 2017",depaul,70,69,208,77.4,67.0
21,"Wed, Jan 25, 2017",seton-hall,61,54,215,76.61904761904762,66.38095238095238
22,"Sat, Jan 28, 2017",georgetown,81,85,211,76.81818181818181,67.22727272727273
23,"Tue, Jan 31, 2017",creighton 22,67,76,202,76.3913043478261,67.6086956521739
24,"Tue, Feb 7, 2017",marquette,68,65,205,76.04166666666667,67.5
25,"Sat, Feb 11, 2017",providence,65,71,199,75.6,67.64
26,"Wed, Feb 15, 2017",st-johns-ny,110,86,223,76.92307692307692,68.34615384615384
27,"Sun, Feb 19, 2017",depaul,82,66,239,77.11111111111111,68.25925925925925
28,"Wed, Feb 22, 2017",villanova 2,74,66,247,77.0,68.17857142857143
29,"Sun, Feb 26, 2017",xavier,88,79,256,77.37931034482759,68.55172413793103
30,"Sat, Mar 4, 2017",seton-hall,64,70,250,76.93333333333334,68.6
G,Date,opponent,Tm,Opp,250,76.93333333333334,68.6
31,"Thu, Mar 9, 2017",xavier,57,62,245,76.29032258064517,68.38709677419355
G,Date,opponent,Tm,Opp,245,76.29032258064517,68.38709677419355
32,"Thu, Mar 16, 2017",winthrop,76,64,257,76.28125,68.25
33,"Sat, Mar 18, 2017",middle-tennessee,74,65,266,76.21212121212122,68.15151515151516
34,"Fri, Mar 24, 2017",north-carolina 6,80,92,254,76.32352941176471,68.8529411764706
