G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",missouri-kansas-city,89,82,7,89.0,82.0
2,"Tue, Nov 15, 2016",wisconsin 9,79,67,19,84.0,74.5
3,"Fri, Nov 18, 2016",washington-state,103,77,45,90.33333333333333,75.33333333333333
4,"Sun, Nov 20, 2016",north-carolina-state,112,94,63,95.75,80.0
5,"Mon, Nov 21, 2016",mississippi,86,77,72,93.8,79.4
6,"Sat, Nov 26, 2016",loyola-md,82,52,102,91.83333333333333,74.83333333333333
7,"Tue, Nov 29, 2016",buffalo,93,72,123,92.0,74.42857142857143
8,"Sat, Dec 3, 2016",akron,82,70,135,90.75,73.875
9,"Wed, Dec 7, 2016",nebraska,77,62,150,89.22222222222223,72.55555555555556
10,"Fri, Dec 9, 2016",longwood,113,58,205,91.6,71.1
11,"Sat, Dec 17, 2016",oral-roberts,66,65,206,89.27272727272727,70.54545454545455
12,"Tue, Dec 20, 2016",arizona-state,96,85,217,89.83333333333333,71.75
13,"Wed, Dec 28, 2016",seton-hall,89,75,231,89.76923076923077,72.0
14,"Sat, Dec 31, 2016",villanova 1,70,80,221,88.35714285714286,72.57142857142857
15,"Wed, Jan 4, 2017",st-johns-ny,85,72,234,88.13333333333334,72.53333333333333
16,"Sat, Jan 7, 2017",providence,78,64,248,87.5,72.0
17,"Wed, Jan 11, 2017",butler 12,75,64,259,86.76470588235294,71.52941176470588
18,"Sat, Jan 14, 2017",truman-state,101,69,291,87.55555555555556,71.38888888888889
19,"Mon, Jan 16, 2017",xavier 22,72,67,296,86.73684210526316,71.15789473684211
20,"Sat, Jan 21, 2017",marquette,94,102,288,87.1,72.7
21,"Wed, Jan 25, 2017",georgetown,51,71,268,85.38095238095238,72.61904761904762
22,"Sat, Jan 28, 2017",depaul,83,66,285,85.27272727272727,72.31818181818181
23,"Tue, Jan 31, 2017",butler 16,76,67,294,84.8695652173913,72.08695652173913
24,"Sat, Feb 4, 2017",xavier,80,82,292,84.66666666666667,72.5
25,"Sat, Feb 11, 2017",depaul,93,58,327,85.0,71.92
26,"Wed, Feb 15, 2017",seton-hall,81,87,321,84.84615384615384,72.5
27,"Sun, Feb 19, 2017",georgetown,87,70,338,84.92592592592592,72.4074074074074
28,"Wed, Feb 22, 2017",providence,66,68,336,84.25,72.25
29,"Sat, Feb 25, 2017",villanova 2,63,79,320,83.51724137931035,72.48275862068965
30,"Tue, Feb 28, 2017",st-johns-ny,82,68,334,83.46666666666667,72.33333333333333
31,"Sat, Mar 4, 2017",marquette,83,91,326,83.45161290322581,72.93548387096774
G,Date,opponent,Tm,Opp,326,83.45161290322581,72.93548387096774
32,"Thu, Mar 9, 2017",providence,70,58,338,83.03125,72.46875
33,"Fri, Mar 10, 2017",xavier,75,72,341,82.78787878787878,72.45454545454545
34,"Sat, Mar 11, 2017",villanova 2,60,74,327,82.11764705882354,72.5
G,Date,opponent,Tm,Opp,327,82.11764705882354,72.5
35,"Fri, Mar 17, 2017",rhode-island,72,84,315,81.82857142857142,72.82857142857142
