G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",savannah-state,113,71,42,113.0,71.0
2,"Mon, Nov 14, 2016",mount-st-marys,73,55,60,93.0,63.0
3,"Sun, Nov 20, 2016",citadel,130,63,127,105.33333333333333,63.0
4,"Thu, Nov 24, 2016",indiana-state,73,71,129,97.25,65.0
5,"Fri, Nov 25, 2016",miami-fl,73,56,146,92.4,63.2
6,"Sun, Nov 27, 2016",gonzaga 11,71,73,144,88.83333333333333,64.83333333333333
7,"Thu, Dec 1, 2016",cincinnati,54,55,143,83.85714285714286,63.42857142857143
8,"Mon, Dec 5, 2016",nebraska-omaha,91,47,187,84.75,61.375
9,"Thu, Dec 8, 2016",iowa,64,78,173,82.44444444444444,63.22222222222222
10,"Sat, Dec 17, 2016",drake,97,80,190,83.9,64.9
11,"Tue, Dec 20, 2016",mississippi-valley-state,88,60,218,84.27272727272727,64.45454545454545
12,"Fri, Dec 30, 2016",texas-tech,63,56,225,82.5,63.75
13,"Wed, Jan 4, 2017",baylor 2,63,65,223,81.0,63.84615384615385
14,"Sat, Jan 7, 2017",texas,79,70,232,80.85714285714286,64.28571428571429
15,"Wed, Jan 11, 2017",oklahoma-state,96,86,242,81.86666666666666,65.73333333333333
16,"Sat, Jan 14, 2017",texas-christian,77,84,235,81.5625,66.875
17,"Mon, Jan 16, 2017",kansas 2,72,76,231,81.0,67.41176470588235
18,"Sat, Jan 21, 2017",oklahoma,92,87,236,81.61111111111111,68.5
19,"Tue, Jan 24, 2017",kansas-state,70,65,241,81.0,68.3157894736842
20,"Sat, Jan 28, 2017",vanderbilt,78,84,235,80.85,69.1
21,"Tue, Jan 31, 2017",west-virginia 7,72,85,222,80.42857142857143,69.85714285714286
22,"Sat, Feb 4, 2017",kansas 3,92,89,225,80.95454545454545,70.72727272727273
23,"Tue, Feb 7, 2017",texas,65,67,223,80.26086956521739,70.56521739130434
24,"Sat, Feb 11, 2017",oklahoma,80,64,239,80.25,70.29166666666667
25,"Wed, Feb 15, 2017",kansas-state,87,79,247,80.52,70.64
26,"Sat, Feb 18, 2017",texas-christian,84,71,260,80.65384615384616,70.65384615384616
27,"Mon, Feb 20, 2017",texas-tech,82,80,262,80.70370370370371,71.0
28,"Sat, Feb 25, 2017",baylor 9,72,69,265,80.39285714285714,70.92857142857143
29,"Tue, Feb 28, 2017",oklahoma-state,86,83,268,80.58620689655173,71.34482758620689
30,"Fri, Mar 3, 2017",west-virginia 10,76,87,257,80.43333333333334,71.86666666666666
G,Date,opponent,Tm,Opp,257,80.43333333333334,71.86666666666666
31,"Thu, Mar 9, 2017",oklahoma-state,92,83,266,80.80645161290323,72.2258064516129
32,"Fri, Mar 10, 2017",texas-christian,84,63,287,80.90625,71.9375
33,"Sat, Mar 11, 2017",west-virginia 11,80,74,293,80.87878787878788,72.0
G,Date,opponent,Tm,Opp,293,80.87878787878788,72.0
34,"Thu, Mar 16, 2017",nevada,84,73,304,80.97058823529412,72.02941176470588
35,"Sat, Mar 18, 2017",purdue 15,76,80,300,80.82857142857142,72.25714285714285
