G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",vanderbilt,95,71,24,95.0,71.0
2,"Mon, Nov 14, 2016",howard,81,49,56,88.0,60.0
3,"Thu, Nov 17, 2016",michigan,61,79,38,79.0,66.33333333333333
4,"Fri, Nov 18, 2016",pittsburgh,75,78,35,78.0,69.25
5,"Tue, Nov 22, 2016",iupui,104,79,60,83.2,71.2
6,"Sat, Nov 26, 2016",houston-baptist,101,79,82,86.16666666666667,72.5
7,"Wed, Nov 30, 2016",western-carolina,90,44,128,86.71428571428571,68.42857142857143
8,"Sun, Dec 4, 2016",georgia,89,79,138,87.0,69.75
9,"Tue, Dec 6, 2016",fresno-state,84,81,141,86.66666666666667,71.0
10,"Sat, Dec 10, 2016",wisconsin 17,84,93,132,86.4,73.2
11,"Mon, Dec 19, 2016",saint-francis-pa,78,65,145,85.63636363636364,72.45454545454545
12,"Wed, Dec 21, 2016",southern-illinois-edwardsville,89,56,178,85.91666666666667,71.08333333333333
13,"Wed, Dec 28, 2016",georgetown,76,66,188,85.15384615384616,70.6923076923077
14,"Sun, Jan 1, 2017",seton-hall,66,69,185,83.78571428571429,70.57142857142857
15,"Sat, Jan 7, 2017",villanova 1,81,93,173,83.6,72.06666666666666
16,"Wed, Jan 11, 2017",seton-hall,89,86,176,83.9375,72.9375
17,"Sat, Jan 14, 2017",depaul,83,58,201,83.88235294117646,72.05882352941177
18,"Mon, Jan 16, 2017",butler 13,80,88,193,83.66666666666667,72.94444444444444
19,"Sat, Jan 21, 2017",creighton 7,102,94,201,84.63157894736842,74.05263157894737
20,"Tue, Jan 24, 2017",villanova 1,74,72,203,84.1,73.95
21,"Sat, Jan 28, 2017",providence,78,79,202,83.80952380952381,74.19047619047619
22,"Wed, Feb 1, 2017",st-johns-ny,72,86,188,83.27272727272727,74.72727272727273
23,"Sat, Feb 4, 2017",depaul,92,79,201,83.65217391304348,74.91304347826087
24,"Tue, Feb 7, 2017",butler 22,65,68,198,82.875,74.625
25,"Sat, Feb 11, 2017",georgetown,62,80,180,82.04,74.84
26,"Sat, Feb 18, 2017",xavier,83,61,202,82.07692307692308,74.3076923076923
27,"Tue, Feb 21, 2017",st-johns-ny,93,71,224,82.48148148148148,74.18518518518519
28,"Sat, Feb 25, 2017",providence,69,73,220,82.0,74.14285714285714
29,"Wed, Mar 1, 2017",xavier,95,84,231,82.44827586206897,74.48275862068965
30,"Sat, Mar 4, 2017",creighton,91,83,239,82.73333333333333,74.76666666666667
G,Date,opponent,Tm,Opp,239,82.73333333333333,74.76666666666667
31,"Thu, Mar 9, 2017",seton-hall,76,82,233,82.51612903225806,75.0
G,Date,opponent,Tm,Opp,233,82.51612903225806,75.0
32,"Fri, Mar 17, 2017",south-carolina,73,93,213,82.21875,75.5625
