G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",georgia-southern,81,79,2,81.0,79.0
2,"Sun, Nov 13, 2016",st-francis-ny,86,61,27,83.5,70.0
3,"Fri, Nov 18, 2016",montana,85,72,40,84.0,70.66666666666667
4,"Sun, Nov 20, 2016",creighton 22,94,112,22,86.5,81.0
5,"Mon, Nov 21, 2016",saint-josephs,73,63,32,83.8,77.4
6,"Sat, Nov 26, 2016",loyola-il,79,77,34,83.0,77.33333333333333
7,"Tue, Nov 29, 2016",illinois,74,88,20,81.71428571428571,78.85714285714286
8,"Sat, Dec 3, 2016",boston-university,77,73,24,81.125,78.125
9,"Sat, Dec 10, 2016",tennessee-state,67,55,36,79.55555555555556,75.55555555555556
10,"Thu, Dec 15, 2016",appalachian-state,97,64,69,81.3,74.4
11,"Sun, Dec 18, 2016",fairfield,99,78,90,82.9090909090909,74.72727272727273
12,"Thu, Dec 22, 2016",mcneese-state,89,57,122,83.41666666666667,73.25
13,"Wed, Dec 28, 2016",rider,99,71,150,84.61538461538461,73.07692307692308
14,"Sat, Dec 31, 2016",miami-fl,63,81,132,83.07142857142857,73.64285714285714
15,"Wed, Jan 4, 2017",virginia-tech 21,104,78,158,84.46666666666667,73.93333333333334
16,"Sun, Jan 8, 2017",north-carolina 14,56,107,107,82.6875,76.0
17,"Wed, Jan 11, 2017",boston-college,66,74,99,81.70588235294117,75.88235294117646
18,"Sun, Jan 15, 2017",georgia-tech,76,86,89,81.38888888888889,76.44444444444444
19,"Tue, Jan 17, 2017",pittsburgh,79,74,94,81.26315789473684,76.3157894736842
20,"Sat, Jan 21, 2017",wake-forest,88,93,89,81.6,77.15
21,"Mon, Jan 23, 2017",duke 17,84,82,91,81.71428571428571,77.38095238095238
22,"Sun, Jan 29, 2017",louisville 13,60,85,66,80.72727272727273,77.72727272727273
23,"Wed, Feb 1, 2017",syracuse,93,100,59,81.26086956521739,78.69565217391305
24,"Sat, Feb 4, 2017",miami-fl,79,84,54,81.16666666666667,78.91666666666667
25,"Wed, Feb 8, 2017",florida-state 14,71,95,30,80.76,79.56
26,"Sat, Feb 11, 2017",wake-forest,58,88,0,79.88461538461539,79.88461538461539
27,"Wed, Feb 15, 2017",north-carolina 10,73,97,-24,79.62962962962963,80.51851851851852
28,"Sat, Feb 18, 2017",notre-dame 25,72,81,-33,79.35714285714286,80.53571428571429
29,"Tue, Feb 21, 2017",georgia-tech,71,69,-31,79.06896551724138,80.13793103448276
30,"Sat, Feb 25, 2017",virginia 18,55,70,-46,78.26666666666667,79.8
31,"Wed, Mar 1, 2017",clemson,74,78,-50,78.12903225806451,79.74193548387096
G,Date,opponent,Tm,Opp,-50,78.12903225806451,79.74193548387096
32,"Tue, Mar 7, 2017",clemson,61,75,-64,77.59375,79.59375
