G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 13, 2016",northwestern-state,97,61,36,97.0,61.0
2,"Thu, Nov 17, 2016",tulane,89,70,55,93.0,65.5
3,"Fri, Nov 18, 2016",northern-iowa,67,73,49,84.33333333333333,68.0
4,"Sun, Nov 20, 2016",clemson,70,64,55,80.75,67.0
5,"Fri, Nov 25, 2016",abilene-christian,72,64,63,79.0,66.4
6,"Tue, Nov 29, 2016",northern-colorado,87,66,84,80.33333333333333,66.33333333333333
7,"Sat, Dec 3, 2016",wisconsin 17,70,90,64,78.85714285714286,69.71428571428571
8,"Wed, Dec 7, 2016",oral-roberts,92,66,90,80.5,69.25
9,"Sat, Dec 10, 2016",wichita-state,73,76,87,79.66666666666667,70.0
10,"Sat, Dec 17, 2016",memphis,94,99,82,81.1,72.9
11,"Wed, Dec 21, 2016",auburn,70,74,78,80.0909090909091,73.0
12,"Fri, Dec 30, 2016",baylor 4,50,76,52,77.58333333333333,73.25
13,"Tue, Jan 3, 2017",texas-christian,57,60,49,76.0,72.23076923076923
14,"Sat, Jan 7, 2017",kansas-state,64,75,38,75.14285714285714,72.42857142857143
15,"Tue, Jan 10, 2017",kansas 2,70,81,27,74.8,73.0
16,"Sat, Jan 14, 2017",texas-tech,84,75,36,75.375,73.125
17,"Wed, Jan 18, 2017",west-virginia 7,89,87,38,76.17647058823529,73.94117647058823
18,"Sat, Jan 21, 2017",iowa-state,87,92,33,76.77777777777777,74.94444444444444
19,"Mon, Jan 23, 2017",texas,83,84,32,77.10526315789474,75.42105263157895
20,"Sat, Jan 28, 2017",florida 25,52,84,0,75.85,75.85
21,"Mon, Jan 30, 2017",oklahoma-state,66,68,-2,75.38095238095238,75.47619047619048
22,"Sat, Feb 4, 2017",texas-tech,69,77,-10,75.0909090909091,75.54545454545455
23,"Wed, Feb 8, 2017",west-virginia 13,50,61,-21,74.0,74.91304347826087
24,"Sat, Feb 11, 2017",iowa-state,64,80,-37,73.58333333333333,75.125
25,"Tue, Feb 14, 2017",texas,70,66,-33,73.44,74.76
26,"Sat, Feb 18, 2017",oklahoma-state,92,96,-37,74.15384615384616,75.57692307692308
27,"Tue, Feb 21, 2017",baylor 9,54,60,-43,73.4074074074074,75.0
28,"Sat, Feb 25, 2017",kansas-state,81,51,-13,73.67857142857143,74.14285714285714
29,"Mon, Feb 27, 2017",kansas 1,63,73,-23,73.3103448275862,74.10344827586206
30,"Sat, Mar 4, 2017",texas-christian,73,68,-18,73.3,73.9
G,Date,opponent,Tm,Opp,-18,73.3,73.9
31,"Wed, Mar 8, 2017",texas-christian,63,82,-37,72.96774193548387,74.16129032258064
