G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",eastern-michigan,93,90,3,93.0,90.0
2,"Mon, Nov 14, 2016",gardner-webb,99,80,22,96.0,85.0
3,"Thu, Nov 17, 2016",southern-methodist,67,76,13,86.33333333333333,82.0
4,"Fri, Nov 18, 2016",marquette,78,75,16,84.25,80.25
5,"Tue, Nov 22, 2016",yale,75,70,21,82.4,78.2
6,"Fri, Nov 25, 2016",morehead-state,76,63,34,81.33333333333333,75.66666666666667
7,"Tue, Nov 29, 2016",maryland,73,59,48,80.14285714285714,73.28571428571429
8,"Fri, Dec 2, 2016",duquesne,55,64,39,77.0,72.125
9,"Wed, Dec 7, 2016",buffalo,84,79,44,77.77777777777777,72.88888888888889
10,"Sat, Dec 10, 2016",penn-state,81,73,52,78.1,72.9
11,"Sat, Dec 17, 2016",rice,83,73,62,78.54545454545455,72.9090909090909
12,"Wed, Dec 21, 2016",nebraska-omaha,94,75,81,79.83333333333333,73.08333333333333
13,"Wed, Dec 28, 2016",marshall,112,106,87,82.3076923076923,75.61538461538461
14,"Sat, Dec 31, 2016",notre-dame 24,77,78,86,81.92857142857143,75.78571428571429
15,"Wed, Jan 4, 2017",virginia 11,88,76,98,82.33333333333333,75.8
16,"Sat, Jan 7, 2017",syracuse,66,77,87,81.3125,75.875
17,"Wed, Jan 11, 2017",louisville 14,80,85,82,81.23529411764706,76.41176470588235
18,"Sat, Jan 14, 2017",miami-fl,46,72,56,79.27777777777777,76.16666666666667
19,"Tue, Jan 17, 2017",north-carolina-state,74,79,51,79.0,76.3157894736842
20,"Tue, Jan 24, 2017",louisville 13,51,106,-4,77.6,77.8
21,"Sat, Jan 28, 2017",clemson,60,67,-11,76.76190476190476,77.28571428571429
22,"Tue, Jan 31, 2017",north-carolina 12,78,80,-13,76.81818181818181,77.4090909090909
23,"Sat, Feb 4, 2017",duke 21,64,72,-21,76.26086956521739,77.17391304347827
24,"Wed, Feb 8, 2017",boston-college,83,72,-10,76.54166666666667,76.95833333333333
25,"Sat, Feb 11, 2017",syracuse,80,75,-5,76.68,76.88
26,"Tue, Feb 14, 2017",virginia-tech,63,66,-8,76.15384615384616,76.46153846153847
27,"Sat, Feb 18, 2017",florida-state 17,80,66,6,76.29629629629629,76.07407407407408
28,"Wed, Feb 22, 2017",wake-forest,59,63,2,75.67857142857143,75.60714285714286
29,"Sat, Feb 25, 2017",north-carolina 8,67,85,-16,75.37931034482759,75.93103448275862
30,"Tue, Feb 28, 2017",georgia-tech,52,61,-25,74.6,75.43333333333334
31,"Sat, Mar 4, 2017",virginia 23,42,67,-50,73.54838709677419,75.16129032258064
G,Date,opponent,Tm,Opp,-50,73.54838709677419,75.16129032258064
32,"Tue, Mar 7, 2017",georgia-tech,61,59,-48,73.15625,74.65625
33,"Wed, Mar 8, 2017",virginia 21,63,75,-60,72.84848484848484,74.66666666666667
