G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",colgate,83,55,28,83.0,55.0
2,"Tue, Nov 15, 2016",holy-cross,90,46,72,86.5,50.5
3,"Fri, Nov 18, 2016",monmouth,71,50,93,81.33333333333333,50.333333333333336
4,"Tue, Nov 22, 2016",south-carolina-state,101,59,135,86.25,52.5
5,"Sat, Nov 26, 2016",south-carolina,50,64,121,79.0,54.8
6,"Tue, Nov 29, 2016",wisconsin 17,60,77,104,75.83333333333333,58.5
7,"Sat, Dec 3, 2016",north-florida,77,71,110,76.0,60.285714285714285
8,"Mon, Dec 5, 2016",connecticut,50,52,108,72.75,59.25
9,"Sat, Dec 10, 2016",boston-university,99,77,130,75.66666666666667,61.22222222222222
10,"Sat, Dec 17, 2016",georgetown,71,78,123,75.2,62.9
11,"Mon, Dec 19, 2016",eastern-michigan,105,57,171,77.9090909090909,62.36363636363637
12,"Wed, Dec 21, 2016",st-johns-ny,60,93,138,76.41666666666667,64.91666666666667
13,"Tue, Dec 27, 2016",cornell,80,56,162,76.6923076923077,64.23076923076923
14,"Sun, Jan 1, 2017",boston-college,81,96,147,77.0,66.5
15,"Wed, Jan 4, 2017",miami-fl,70,55,162,76.53333333333333,65.73333333333333
16,"Sat, Jan 7, 2017",pittsburgh,77,66,173,76.5625,65.75
17,"Tue, Jan 10, 2017",virginia-tech,73,83,163,76.3529411764706,66.76470588235294
18,"Sat, Jan 14, 2017",boston-college,76,53,186,76.33333333333333,66.0
19,"Mon, Jan 16, 2017",north-carolina 9,68,85,169,75.89473684210526,67.0
20,"Sat, Jan 21, 2017",notre-dame 15,66,84,151,75.4,67.85
21,"Tue, Jan 24, 2017",wake-forest,81,76,156,75.66666666666667,68.23809523809524
22,"Sat, Jan 28, 2017",florida-state 6,82,72,166,75.95454545454545,68.4090909090909
23,"Wed, Feb 1, 2017",north-carolina-state,100,93,173,77.0,69.47826086956522
24,"Sat, Feb 4, 2017",virginia 9,66,62,177,76.54166666666667,69.16666666666667
25,"Tue, Feb 7, 2017",clemson,82,81,178,76.76,69.64
26,"Sat, Feb 11, 2017",pittsburgh,75,80,173,76.6923076923077,70.03846153846153
27,"Mon, Feb 13, 2017",louisville 8,72,76,169,76.51851851851852,70.25925925925925
28,"Sun, Feb 19, 2017",georgia-tech,65,71,163,76.10714285714286,70.28571428571429
29,"Wed, Feb 22, 2017",duke 10,78,75,166,76.17241379310344,70.44827586206897
30,"Sun, Feb 26, 2017",louisville 7,68,88,146,75.9,71.03333333333333
31,"Sat, Mar 4, 2017",georgia-tech,90,61,175,76.35483870967742,70.70967741935483
G,Date,opponent,Tm,Opp,175,76.35483870967742,70.70967741935483
32,"Wed, Mar 8, 2017",miami-fl,57,62,170,75.75,70.4375
G,Date,opponent,Tm,Opp,170,75.75,70.4375
33,"Wed, Mar 15, 2017",north-carolina-greensboro,90,77,183,76.18181818181819,70.63636363636364
34,"Sat, Mar 18, 2017",mississippi,80,85,178,76.29411764705883,71.05882352941177
