G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",st-thomas-tx,82,64,18,82.0,64.0
2,"Mon, Nov 14, 2016",alabama-state,98,62,54,90.0,63.0
3,"Fri, Nov 18, 2016",jacksonville-state,79,60,73,86.33333333333333,62.0
4,"Mon, Nov 21, 2016",illinois-state,80,71,82,84.75,64.25
5,"Fri, Nov 25, 2016",nevada-las-vegas,63,59,86,80.4,63.2
6,"Sat, Nov 26, 2016",washington,93,80,99,82.5,66.0
7,"Wed, Nov 30, 2016",washington,86,71,114,83.0,66.71428571428571
8,"Sat, Dec 3, 2016",arkansas-state,77,54,137,82.25,65.125
9,"Wed, Dec 7, 2016",southern-methodist,59,74,122,79.66666666666667,66.11111111111111
10,"Sat, Dec 10, 2016",wofford,72,63,131,78.9,65.8
11,"Sun, Dec 18, 2016",texas-southern,96,59,168,80.45454545454545,65.18181818181819
12,"Wed, Dec 21, 2016",bradley,74,42,200,79.91666666666667,63.25
13,"Fri, Dec 30, 2016",kansas 3,80,86,194,79.92307692307692,65.0
14,"Tue, Jan 3, 2017",oklahoma,60,57,197,78.5,64.42857142857143
15,"Sat, Jan 7, 2017",west-virginia 7,70,82,185,77.93333333333334,65.6
16,"Wed, Jan 11, 2017",texas,64,61,188,77.0625,65.3125
17,"Sat, Jan 14, 2017",iowa-state,84,77,195,77.47058823529412,66.0
18,"Wed, Jan 18, 2017",texas-tech,69,75,189,77.0,66.5
19,"Sat, Jan 21, 2017",baylor 6,53,62,180,75.73684210526316,66.26315789473684
20,"Mon, Jan 23, 2017",oklahoma-state,76,89,167,75.75,67.4
21,"Sat, Jan 28, 2017",auburn,80,88,159,75.95238095238095,68.38095238095238
22,"Wed, Feb 1, 2017",kansas-state,86,80,165,76.4090909090909,68.9090909090909
23,"Sat, Feb 4, 2017",texas,78,63,180,76.47826086956522,68.65217391304348
24,"Tue, Feb 7, 2017",texas-tech,62,61,181,75.875,68.33333333333333
25,"Sat, Feb 11, 2017",baylor 6,52,70,163,74.92,68.4
26,"Wed, Feb 15, 2017",oklahoma-state,68,71,160,74.65384615384616,68.5
27,"Sat, Feb 18, 2017",iowa-state,71,84,147,74.51851851851852,69.07407407407408
28,"Wed, Feb 22, 2017",kansas 3,68,87,128,74.28571428571429,69.71428571428571
29,"Sat, Feb 25, 2017",west-virginia 12,60,61,127,73.79310344827586,69.41379310344827
30,"Wed, Mar 1, 2017",kansas-state,74,75,126,73.8,69.6
31,"Sat, Mar 4, 2017",oklahoma,68,73,121,73.61290322580645,69.70967741935483
G,Date,opponent,Tm,Opp,121,73.61290322580645,69.70967741935483
32,"Wed, Mar 8, 2017",oklahoma,82,63,140,73.875,69.5
33,"Thu, Mar 9, 2017",kansas 1,85,82,143,74.21212121212122,69.87878787878788
34,"Fri, Mar 10, 2017",iowa-state 23,63,84,122,73.88235294117646,70.29411764705883
G,Date,opponent,Tm,Opp,122,73.88235294117646,70.29411764705883
35,"Wed, Mar 15, 2017",fresno-state,66,59,129,73.65714285714286,69.97142857142858
36,"Sun, Mar 19, 2017",iowa,94,92,131,74.22222222222223,70.58333333333333
37,"Tue, Mar 21, 2017",richmond,86,68,149,74.54054054054055,70.51351351351352
38,"Tue, Mar 28, 2017",central-florida,68,53,164,74.36842105263158,70.05263157894737
39,"Thu, Mar 30, 2017",georgia-tech,88,56,196,74.71794871794872,69.6923076923077
