G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",incarnate-word,78,73,5,78.0,73.0
2,"Mon, Nov 14, 2016",louisiana-monroe,80,59,26,79.0,66.0
3,"Thu, Nov 17, 2016",eastern-washington,85,52,59,81.0,61.333333333333336
4,"Mon, Nov 21, 2016",northwestern,58,77,40,75.25,65.25
5,"Tue, Nov 22, 2016",colorado,54,68,26,71.0,65.8
6,"Tue, Nov 29, 2016",texas-arlington,61,72,15,69.33333333333333,66.83333333333333
7,"Fri, Dec 2, 2016",alabama,77,68,24,70.42857142857143,67.0
8,"Tue, Dec 6, 2016",michigan,50,53,21,67.875,65.25
9,"Sat, Dec 10, 2016",long-beach-state,71,65,27,68.22222222222223,65.22222222222223
10,"Sat, Dec 17, 2016",arkansas,74,77,24,68.8,66.4
11,"Wed, Dec 21, 2016",alabama-birmingham,96,60,60,71.27272727272727,65.81818181818181
12,"Tue, Dec 27, 2016",kent-state,58,63,55,70.16666666666667,65.58333333333333
13,"Fri, Dec 30, 2016",kansas-state,62,65,52,69.53846153846153,65.53846153846153
14,"Wed, Jan 4, 2017",oklahoma-state,82,79,55,70.42857142857143,66.5
15,"Sat, Jan 7, 2017",iowa-state,70,79,46,70.4,67.33333333333333
16,"Wed, Jan 11, 2017",texas-christian,61,64,43,69.8125,67.125
17,"Sat, Jan 14, 2017",west-virginia 10,72,74,41,69.94117647058823,67.52941176470588
18,"Tue, Jan 17, 2017",baylor 6,64,74,31,69.61111111111111,67.88888888888889
19,"Sat, Jan 21, 2017",kansas 2,67,79,19,69.47368421052632,68.47368421052632
20,"Mon, Jan 23, 2017",oklahoma,84,83,20,70.2,69.2
21,"Sat, Jan 28, 2017",georgia,57,59,18,69.57142857142857,68.71428571428571
22,"Wed, Feb 1, 2017",texas-tech,62,58,22,69.22727272727273,68.22727272727273
23,"Sat, Feb 4, 2017",texas-christian,63,78,7,68.95652173913044,68.65217391304348
24,"Tue, Feb 7, 2017",iowa-state,67,65,9,68.875,68.5
25,"Sat, Feb 11, 2017",oklahoma-state,71,84,-4,68.96,69.12
26,"Tue, Feb 14, 2017",oklahoma,66,70,-8,68.84615384615384,69.15384615384616
27,"Sat, Feb 18, 2017",kansas-state,61,64,-11,68.55555555555556,68.96296296296296
28,"Mon, Feb 20, 2017",west-virginia 12,62,77,-26,68.32142857142857,69.25
29,"Sat, Feb 25, 2017",kansas 3,67,77,-36,68.27586206896552,69.51724137931035
30,"Wed, Mar 1, 2017",texas-tech,57,67,-46,67.9,69.43333333333334
31,"Sat, Mar 4, 2017",baylor 11,64,75,-57,67.7741935483871,69.61290322580645
G,Date,opponent,Tm,Opp,-57,67.7741935483871,69.61290322580645
32,"Wed, Mar 8, 2017",texas-tech,61,52,-48,67.5625,69.0625
33,"Thu, Mar 9, 2017",west-virginia 11,53,63,-58,67.12121212121212,68.87878787878788
