G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",maine,80,67,13,80.0,67.0
2,"Tue, Nov 15, 2016",high-point,99,73,39,89.5,70.0
3,"Sat, Nov 19, 2016",virginia-military-institute,88,72,55,89.0,70.66666666666667
4,"Thu, Nov 24, 2016",new-mexico,92,72,75,89.75,71.0
5,"Fri, Nov 25, 2016",texas-am,65,68,72,84.8,70.4
6,"Sun, Nov 27, 2016",nebraska,66,53,85,81.66666666666667,67.5
7,"Wed, Nov 30, 2016",michigan,73,70,88,80.42857142857143,67.85714285714286
8,"Wed, Dec 7, 2016",maryland-eastern-shore,75,59,104,79.75,66.75
9,"Sun, Dec 11, 2016",mississippi,80,75,109,79.77777777777777,67.66666666666667
10,"Sat, Dec 17, 2016",citadel,113,71,151,83.1,68.0
11,"Tue, Dec 20, 2016",charleston-southern,87,59,179,83.45454545454545,67.18181818181819
12,"Wed, Dec 28, 2016",maryland-baltimore-county,87,70,196,83.75,67.41666666666667
13,"Sat, Dec 31, 2016",duke 5,89,75,210,84.15384615384616,68.0
14,"Wed, Jan 4, 2017",north-carolina-state,78,104,184,83.71428571428571,70.57142857142857
15,"Sat, Jan 7, 2017",florida-state 12,78,93,169,83.33333333333333,72.06666666666666
16,"Tue, Jan 10, 2017",syracuse,83,73,179,83.3125,72.125
17,"Sat, Jan 14, 2017",notre-dame 20,71,76,174,82.58823529411765,72.3529411764706
18,"Wed, Jan 18, 2017",georgia-tech,62,61,175,81.44444444444444,71.72222222222223
19,"Sun, Jan 22, 2017",clemson,82,81,176,81.47368421052632,72.21052631578948
20,"Thu, Jan 26, 2017",north-carolina 9,72,91,157,81.0,73.15
21,"Sun, Jan 29, 2017",boston-college,85,79,163,81.19047619047619,73.42857142857143
22,"Wed, Feb 1, 2017",virginia 9,48,71,140,79.68181818181819,73.31818181818181
23,"Wed, Feb 8, 2017",miami-fl,68,74,134,79.17391304347827,73.34782608695652
24,"Sun, Feb 12, 2017",virginia 12,80,78,136,79.20833333333333,73.54166666666667
25,"Tue, Feb 14, 2017",pittsburgh,66,63,139,78.68,73.12
26,"Sat, Feb 18, 2017",louisville 8,90,94,135,79.11538461538461,73.92307692307692
27,"Tue, Feb 21, 2017",clemson,71,70,136,78.81481481481481,73.77777777777777
28,"Sat, Feb 25, 2017",boston-college,91,75,152,79.25,73.82142857142857
29,"Mon, Feb 27, 2017",miami-fl 25,66,61,157,78.79310344827586,73.37931034482759
30,"Sat, Mar 4, 2017",wake-forest,84,89,152,78.96666666666667,73.9
G,Date,opponent,Tm,Opp,152,78.96666666666667,73.9
31,"Wed, Mar 8, 2017",wake-forest,99,90,161,79.61290322580645,74.41935483870968
32,"Thu, Mar 9, 2017",florida-state 16,68,74,155,79.25,74.40625
G,Date,opponent,Tm,Opp,155,79.25,74.40625
33,"Thu, Mar 16, 2017",wisconsin 25,74,84,145,79.0909090909091,74.6969696969697
