G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",american,83,45,38,83.0,45.0
2,"Tue, Nov 14, 2017",missouri-kansas-city,72,51,59,77.5,48.0
3,"Fri, Nov 17, 2017",california-irvine,71,49,81,75.33333333333333,48.333333333333336
4,"Mon, Nov 20, 2017",northern-arizona,80,58,103,76.5,50.75
5,"Thu, Nov 23, 2017",arizona-state,90,92,101,79.2,59.0
6,"Fri, Nov 24, 2017",george-washington,67,59,109,77.16666666666667,59.0
7,"Wed, Nov 29, 2017",oral-roberts,77,68,118,77.14285714285714,60.285714285714285
8,"Sun, Dec 3, 2017",vanderbilt,84,79,123,78.0,62.625
9,"Tue, Dec 5, 2017",south-carolina-upstate,86,49,160,78.88888888888889,61.111111111111114
10,"Sat, Dec 9, 2017",tulsa,54,61,153,76.4,61.1
11,"Sat, Dec 16, 2017",southeast-missouri-state,89,71,171,77.54545454545455,62.0
12,"Wed, Dec 20, 2017",washington-state,68,65,174,76.75,62.25
13,"Fri, Dec 29, 2017",iowa-state,91,75,190,77.84615384615384,63.23076923076923
14,"Mon, Jan 1, 2018",west-virginia 6,69,77,182,77.21428571428571,64.21428571428571
15,"Sat, Jan 6, 2018",texas-tech 18,58,74,166,75.93333333333334,64.86666666666666
16,"Wed, Jan 10, 2018",oklahoma-state,86,82,170,76.5625,65.9375
17,"Sat, Jan 13, 2018",kansas 12,72,73,169,76.29411764705883,66.3529411764706
18,"Tue, Jan 16, 2018",oklahoma 4,87,69,187,76.88888888888889,66.5
19,"Sat, Jan 20, 2018",texas-christian 24,73,68,192,76.6842105263158,66.57894736842105
20,"Mon, Jan 22, 2018",baylor,90,83,199,77.35,67.4
21,"Sat, Jan 27, 2018",georgia,56,51,204,76.33333333333333,66.61904761904762
22,"Mon, Jan 29, 2018",kansas 7,56,70,190,75.4090909090909,66.77272727272727
23,"Sat, Feb 3, 2018",west-virginia 15,51,89,152,74.34782608695652,67.73913043478261
24,"Wed, Feb 7, 2018",texas,67,64,155,74.04166666666667,67.58333333333333
25,"Sat, Feb 10, 2018",texas-tech 7,47,66,136,72.96,67.52
26,"Wed, Feb 14, 2018",oklahoma-state,82,72,146,73.3076923076923,67.6923076923077
27,"Sat, Feb 17, 2018",iowa-state,78,66,158,73.48148148148148,67.62962962962963
28,"Wed, Feb 21, 2018",texas,58,48,168,72.92857142857143,66.92857142857143
29,"Sat, Feb 24, 2018",oklahoma,77,86,159,73.06896551724138,67.58620689655173
30,"Tue, Feb 27, 2018",texas-christian,59,66,152,72.6,67.53333333333333
31,"Sat, Mar 3, 2018",baylor,77,67,162,72.74193548387096,67.51612903225806
G,Date,opponent,Tm,Opp,162,72.74193548387096,67.51612903225806
32,"Thu, Mar 8, 2018",texas-christian,66,64,164,72.53125,67.40625
33,"Fri, Mar 9, 2018",kansas 9,67,83,148,72.36363636363636,67.87878787878788
G,Date,opponent,Tm,Opp,148,72.36363636363636,67.87878787878788
34,"Fri, Mar 16, 2018",creighton,69,59,158,72.26470588235294,67.61764705882354
35,"Sun, Mar 18, 2018",maryland-baltimore-county,50,43,165,71.62857142857143,66.91428571428571
36,"Thu, Mar 22, 2018",kentucky 18,61,58,168,71.33333333333333,66.66666666666667
37,"Sat, Mar 24, 2018",loyola-il,62,78,152,71.08108108108108,66.97297297297297
