G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",tennessee-state,92,56,36,92.0,56.0
2,"Tue, Nov 14, 2017",kentucky 7,65,61,40,78.5,58.5
3,"Fri, Nov 17, 2017",south-dakota-state,98,64,74,85.0,60.333333333333336
4,"Tue, Nov 21, 2017",texas-southern,114,71,117,92.25,63.0
5,"Fri, Nov 24, 2017",oakland,102,59,160,94.2,62.2
6,"Tue, Nov 28, 2017",toledo,96,58,198,94.5,61.5
7,"Sat, Dec 2, 2017",syracuse,76,60,214,91.85714285714286,61.285714285714285
8,"Wed, Dec 6, 2017",washington,65,74,205,88.5,62.875
9,"Sun, Dec 10, 2017",arizona-state 16,85,95,195,88.11111111111111,66.44444444444444
10,"Sat, Dec 16, 2017",nebraska,73,72,196,86.6,67.0
11,"Mon, Dec 18, 2017",nebraska-omaha,109,64,241,88.63636363636364,66.72727272727273
12,"Thu, Dec 21, 2017",stanford,75,54,262,87.5,65.66666666666667
13,"Fri, Dec 29, 2017",texas,92,86,268,87.84615384615384,67.23076923076923
14,"Tue, Jan 2, 2018",texas-tech 18,73,85,256,86.78571428571429,68.5
15,"Sat, Jan 6, 2018",texas-christian 16,88,84,260,86.86666666666666,69.53333333333333
16,"Tue, Jan 9, 2018",iowa-state,83,78,265,86.625,70.0625
17,"Sat, Jan 13, 2018",kansas-state,73,72,266,85.82352941176471,70.17647058823529
18,"Mon, Jan 15, 2018",west-virginia 6,71,66,271,85.0,69.94444444444444
19,"Sat, Jan 20, 2018",baylor,70,67,274,84.21052631578948,69.78947368421052
20,"Tue, Jan 23, 2018",oklahoma 12,80,85,269,84.0,70.55
21,"Sat, Jan 27, 2018",texas-am,79,68,280,83.76190476190476,70.42857142857143
22,"Mon, Jan 29, 2018",kansas-state,70,56,294,83.13636363636364,69.77272727272727
23,"Sat, Feb 3, 2018",oklahoma-state,79,84,289,82.95652173913044,70.3913043478261
24,"Tue, Feb 6, 2018",texas-christian,71,64,296,82.45833333333333,70.125
25,"Sat, Feb 10, 2018",baylor,64,80,280,81.72,70.52
26,"Tue, Feb 13, 2018",iowa-state,83,77,286,81.76923076923077,70.76923076923077
27,"Sat, Feb 17, 2018",west-virginia 20,77,69,294,81.5925925925926,70.70370370370371
28,"Mon, Feb 19, 2018",oklahoma,104,74,324,82.39285714285714,70.82142857142857
29,"Sat, Feb 24, 2018",texas-tech 6,74,72,326,82.10344827586206,70.86206896551724
30,"Mon, Feb 26, 2018",texas,80,70,336,82.03333333333333,70.83333333333333
31,"Sat, Mar 3, 2018",oklahoma-state,64,82,318,81.45161290322581,71.19354838709677
G,Date,opponent,Tm,Opp,318,81.45161290322581,71.19354838709677
32,"Thu, Mar 8, 2018",oklahoma-state,82,68,332,81.46875,71.09375
33,"Fri, Mar 9, 2018",kansas-state,83,67,348,81.51515151515152,70.96969696969697
34,"Sat, Mar 10, 2018",west-virginia 18,81,70,359,81.5,70.94117647058823
G,Date,opponent,Tm,Opp,359,81.5,70.94117647058823
35,"Thu, Mar 15, 2018",pennsylvania,76,60,375,81.34285714285714,70.62857142857143
36,"Sat, Mar 17, 2018",seton-hall,83,79,379,81.38888888888889,70.86111111111111
37,"Fri, Mar 23, 2018",clemson 20,80,76,383,81.35135135135135,71.0
38,"Sun, Mar 25, 2018",duke 9,85,81,387,81.44736842105263,71.26315789473684
39,"Sat, Mar 31, 2018",villanova 2,79,95,371,81.38461538461539,71.87179487179488
