G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 12, 2017",george-mason,72,61,11,72.0,61.0
2,"Fri, Nov 17, 2017",nebraska-omaha,87,78,20,79.5,69.5
3,"Tue, Nov 21, 2017",southern-illinois,84,42,62,81.0,60.333333333333336
4,"Fri, Nov 24, 2017",saint-francis-pa,84,72,74,81.75,63.25
5,"Tue, Nov 28, 2017",purdue,57,66,65,76.8,63.8
6,"Sun, Dec 3, 2017",seton-hall,77,79,63,76.83333333333333,66.33333333333333
7,"Wed, Dec 6, 2017",siena,86,60,89,78.14285714285714,65.42857142857143
8,"Sat, Dec 9, 2017",indiana,71,62,98,77.25,65.0
9,"Mon, Dec 11, 2017",bryant,102,59,141,80.0,64.33333333333333
10,"Sat, Dec 16, 2017",memphis,81,72,150,80.1,65.1
11,"Wed, Dec 20, 2017",albany-ny,70,68,152,79.18181818181819,65.36363636363636
12,"Sat, Dec 23, 2017",grand-canyon,74,56,170,78.75,64.58333333333333
13,"Fri, Dec 29, 2017",kentucky 16,61,90,141,77.38461538461539,66.53846153846153
14,"Tue, Jan 2, 2018",pittsburgh,77,51,167,77.35714285714286,65.42857142857143
15,"Sat, Jan 6, 2018",clemson 25,69,74,162,76.8,66.0
16,"Wed, Jan 10, 2018",florida-state 23,73,69,166,76.5625,66.1875
17,"Sat, Jan 13, 2018",virginia-tech,94,86,174,77.58823529411765,67.3529411764706
18,"Tue, Jan 16, 2018",notre-dame,82,78,178,77.83333333333333,67.94444444444444
19,"Sun, Jan 21, 2018",boston-college,77,69,186,77.78947368421052,68.0
20,"Wed, Jan 24, 2018",miami-fl,75,78,183,77.65,68.5
21,"Sat, Jan 27, 2018",wake-forest,96,77,202,78.52380952380952,68.9047619047619
22,"Wed, Jan 31, 2018",virginia 2,64,74,192,77.86363636363636,69.13636363636364
23,"Sat, Feb 3, 2018",florida-state,76,80,188,77.78260869565217,69.6086956521739
24,"Mon, Feb 5, 2018",syracuse,73,78,183,77.58333333333333,69.95833333333333
25,"Thu, Feb 8, 2018",georgia-tech,77,54,206,77.56,69.32
26,"Sun, Feb 11, 2018",pittsburgh,94,60,240,78.1923076923077,68.96153846153847
27,"Sat, Feb 17, 2018",north-carolina 14,76,93,223,78.11111111111111,69.85185185185185
28,"Wed, Feb 21, 2018",duke 5,56,82,197,77.32142857142857,70.28571428571429
29,"Sat, Feb 24, 2018",virginia-tech,75,68,204,77.24137931034483,70.20689655172414
30,"Thu, Mar 1, 2018",virginia 1,66,67,203,76.86666666666666,70.1
31,"Sat, Mar 3, 2018",north-carolina-state,69,76,196,76.61290322580645,70.29032258064517
G,Date,opponent,Tm,Opp,196,76.61290322580645,70.29032258064517
32,"Wed, Mar 7, 2018",florida-state,82,74,204,76.78125,70.40625
33,"Thu, Mar 8, 2018",virginia 1,58,75,187,76.21212121212122,70.54545454545455
G,Date,opponent,Tm,Opp,187,76.21212121212122,70.54545454545455
34,"Tue, Mar 13, 2018",northern-kentucky,66,58,195,75.91176470588235,70.17647058823529
35,"Sun, Mar 18, 2018",middle-tennessee,84,68,211,76.14285714285714,70.11428571428571
36,"Tue, Mar 20, 2018",mississippi-state,56,79,188,75.58333333333333,70.36111111111111
