G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",gardner-webb,77,45,32,77.0,45.0
2,"Sun, Nov 12, 2017",navy,89,55,66,83.0,50.0
3,"Thu, Nov 16, 2017",florida-am,90,59,97,85.33333333333333,53.0
4,"Wed, Nov 22, 2017",la-salle,57,46,108,78.25,51.25
5,"Sat, Nov 25, 2017",north-florida,86,65,129,79.8,54.0
6,"Wed, Nov 29, 2017",minnesota 12,86,81,134,80.83333333333333,58.5
7,"Sat, Dec 2, 2017",princeton,80,52,162,80.71428571428571,57.57142857142857
8,"Tue, Dec 5, 2017",boston-university,69,54,177,79.25,57.125
9,"Sat, Dec 16, 2017",george-washington,59,50,186,77.0,56.333333333333336
10,"Sat, Dec 23, 2017",hawaii,75,57,204,76.8,56.4
11,"Sat, Dec 23, 2017",new-mexico-state,54,63,195,74.72727272727273,57.0
12,"Mon, Dec 25, 2017",middle-tennessee,84,81,198,75.5,59.0
13,"Sat, Dec 30, 2017",pittsburgh,67,53,212,74.84615384615384,58.53846153846154
14,"Wed, Jan 3, 2018",georgia-tech,54,64,202,73.35714285714286,58.92857142857143
15,"Sun, Jan 7, 2018",florida-state 24,80,74,208,73.8,59.93333333333333
16,"Sat, Jan 13, 2018",clemson 19,63,72,199,73.125,60.6875
17,"Mon, Jan 15, 2018",duke 5,75,83,191,73.23529411764706,62.0
18,"Sun, Jan 21, 2018",north-carolina-state,86,81,196,73.94444444444444,63.05555555555556
19,"Wed, Jan 24, 2018",louisville,78,75,199,74.15789473684211,63.68421052631579
20,"Sat, Jan 27, 2018",florida-state,94,103,190,75.15,65.65
21,"Wed, Jan 31, 2018",pittsburgh,69,57,202,74.85714285714286,65.23809523809524
22,"Sat, Feb 3, 2018",virginia-tech,84,75,211,75.27272727272727,65.68181818181819
23,"Wed, Feb 7, 2018",wake-forest,87,81,217,75.78260869565217,66.34782608695652
24,"Sat, Feb 10, 2018",boston-college,70,72,215,75.54166666666667,66.58333333333333
25,"Tue, Feb 13, 2018",virginia 1,50,59,206,74.52,66.28
26,"Sat, Feb 17, 2018",syracuse,55,62,199,73.76923076923077,66.11538461538461
27,"Mon, Feb 19, 2018",notre-dame,77,74,202,73.88888888888889,66.4074074074074
28,"Sat, Feb 24, 2018",boston-college,79,78,203,74.07142857142857,66.82142857142857
29,"Tue, Feb 27, 2018",north-carolina 9,91,88,206,74.65517241379311,67.55172413793103
30,"Sat, Mar 3, 2018",virginia-tech,69,68,207,74.46666666666667,67.56666666666666
G,Date,opponent,Tm,Opp,207,74.46666666666667,67.56666666666666
31,"Thu, Mar 8, 2018",north-carolina 12,65,82,190,74.16129032258064,68.03225806451613
G,Date,opponent,Tm,Opp,190,74.16129032258064,68.03225806451613
32,"Thu, Mar 15, 2018",loyola-il,62,64,188,73.78125,67.90625
