G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",depaul,72,58,14,72.0,58.0
2,"Mon, Nov 13, 2017",mount-st-marys,88,62,40,80.0,60.0
3,"Thu, Nov 16, 2017",chicago-state,105,66,79,88.33333333333333,62.0
4,"Mon, Nov 20, 2017",chaminade,83,56,106,87.0,60.5
5,"Tue, Nov 21, 2017",louisiana-state,92,53,145,88.0,59.0
6,"Wed, Nov 22, 2017",wichita-state 6,67,66,146,84.5,60.166666666666664
7,"Thu, Nov 30, 2017",michigan-state 3,63,81,128,81.42857142857143,63.142857142857146
8,"Sun, Dec 3, 2017",st-francis-ny,71,53,146,80.125,61.875
9,"Tue, Dec 5, 2017",ball-state,77,80,143,79.77777777777777,63.888888888888886
10,"Sat, Dec 9, 2017",delaware,92,68,167,81.0,64.3
11,"Sat, Dec 16, 2017",indiana,77,80,164,80.63636363636364,65.72727272727273
12,"Tue, Dec 19, 2017",dartmouth,97,87,174,82.0,67.5
13,"Thu, Dec 21, 2017",southeastern-louisiana,86,50,210,82.3076923076923,66.15384615384616
14,"Sat, Dec 30, 2017",georgia-tech,68,59,219,81.28571428571429,65.64285714285714
15,"Wed, Jan 3, 2018",north-carolina-state,88,58,249,81.73333333333333,65.13333333333334
16,"Sat, Jan 6, 2018",syracuse,51,49,251,79.8125,64.125
17,"Wed, Jan 10, 2018",georgia-tech,53,60,244,78.23529411764706,63.88235294117647
18,"Sat, Jan 13, 2018",north-carolina 20,68,69,243,77.66666666666667,64.16666666666667
19,"Tue, Jan 16, 2018",louisville,78,82,239,77.6842105263158,65.10526315789474
20,"Sat, Jan 20, 2018",clemson 20,58,67,230,76.7,65.2
21,"Sat, Jan 27, 2018",virginia-tech,75,80,225,76.61904761904762,65.9047619047619
22,"Mon, Jan 29, 2018",duke 4,66,88,203,76.13636363636364,66.9090909090909
23,"Sat, Feb 3, 2018",north-carolina-state,58,76,185,75.34782608695652,67.30434782608695
24,"Tue, Feb 6, 2018",boston-college,96,85,196,76.20833333333333,68.04166666666667
25,"Sat, Feb 10, 2018",florida-state,84,69,211,76.52,68.08
26,"Mon, Feb 12, 2018",north-carolina 14,66,83,194,76.11538461538461,68.65384615384616
27,"Sat, Feb 17, 2018",boston-college,84,67,211,76.4074074074074,68.5925925925926
28,"Mon, Feb 19, 2018",miami-fl,74,77,208,76.32142857142857,68.89285714285714
29,"Sat, Feb 24, 2018",wake-forest,76,71,213,76.3103448275862,68.96551724137932
30,"Wed, Feb 28, 2018",pittsburgh,73,56,230,76.2,68.53333333333333
31,"Sat, Mar 3, 2018",virginia 1,57,62,225,75.58064516129032,68.3225806451613
G,Date,opponent,Tm,Opp,225,75.58064516129032,68.3225806451613
32,"Tue, Mar 6, 2018",pittsburgh,67,64,228,75.3125,68.1875
33,"Wed, Mar 7, 2018",virginia-tech,71,65,234,75.18181818181819,68.0909090909091
34,"Thu, Mar 8, 2018",duke 5,70,88,216,75.02941176470588,68.67647058823529
G,Date,opponent,Tm,Opp,216,75.02941176470588,68.67647058823529
35,"Tue, Mar 13, 2018",hampton,84,63,237,75.28571428571429,68.51428571428572
36,"Sat, Mar 17, 2018",penn-state,63,73,227,74.94444444444444,68.63888888888889
