G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",pepperdine,78,47,31,78.0,47.0
2,"Mon, Nov 13, 2017",charlotte,83,65,49,80.5,56.0
3,"Thu, Nov 16, 2017",oral-roberts,91,48,92,84.0,53.333333333333336
4,"Mon, Nov 20, 2017",texas-am 16,55,72,75,76.75,58.0
5,"Tue, Nov 21, 2017",pittsburgh,73,67,81,76.0,59.8
6,"Sun, Nov 26, 2017",houston-baptist,101,74,108,80.16666666666667,62.166666666666664
7,"Wed, Nov 29, 2017",austin-peay,79,63,124,80.0,62.285714285714285
8,"Sun, Dec 3, 2017",mississippi-valley-state,83,62,145,80.375,62.25
9,"Sat, Dec 9, 2017",wichita-state 6,66,78,133,78.77777777777777,64.0
10,"Sat, Dec 16, 2017",florida-state 19,71,70,134,78.0,64.6
11,"Tue, Dec 19, 2017",tulsa,71,59,146,77.36363636363636,64.0909090909091
12,"Fri, Dec 22, 2017",texas-pan-american,102,83,165,79.41666666666667,65.66666666666667
13,"Fri, Dec 29, 2017",west-virginia 7,79,85,159,79.38461538461539,67.15384615384616
14,"Wed, Jan 3, 2018",oklahoma 7,89,109,139,80.07142857142857,70.14285714285714
15,"Sat, Jan 6, 2018",iowa-state,96,87,148,81.13333333333334,71.26666666666667
16,"Wed, Jan 10, 2018",kansas-state,82,86,144,81.1875,72.1875
17,"Sat, Jan 13, 2018",texas,65,64,145,80.23529411764706,71.70588235294117
18,"Mon, Jan 15, 2018",baylor,60,76,129,79.11111111111111,71.94444444444444
19,"Sat, Jan 20, 2018",oklahoma 4,83,81,131,79.3157894736842,72.42105263157895
20,"Tue, Jan 23, 2018",texas-tech 14,70,75,126,78.85,72.55
21,"Sat, Jan 27, 2018",arkansas,65,66,125,78.19047619047619,72.23809523809524
22,"Tue, Jan 30, 2018",texas-christian,66,79,112,77.63636363636364,72.54545454545455
23,"Sat, Feb 3, 2018",kansas 7,84,79,117,77.91304347826087,72.82608695652173
24,"Tue, Feb 6, 2018",baylor,56,67,106,77.0,72.58333333333333
25,"Sat, Feb 10, 2018",west-virginia 19,88,85,109,77.44,73.08
26,"Wed, Feb 14, 2018",kansas-state,72,82,99,77.23076923076923,73.42307692307692
27,"Sat, Feb 17, 2018",texas-christian,70,90,79,76.96296296296296,74.03703703703704
28,"Wed, Feb 21, 2018",texas-tech 6,79,71,87,77.03571428571429,73.92857142857143
29,"Sat, Feb 24, 2018",texas,64,65,86,76.58620689655173,73.62068965517241
30,"Tue, Feb 27, 2018",iowa-state,80,71,95,76.7,73.53333333333333
31,"Sat, Mar 3, 2018",kansas 6,82,64,113,76.87096774193549,73.2258064516129
G,Date,opponent,Tm,Opp,113,76.87096774193549,73.2258064516129
32,"Wed, Mar 7, 2018",oklahoma,71,60,124,76.6875,72.8125
33,"Thu, Mar 8, 2018",kansas 9,68,82,110,76.42424242424242,73.0909090909091
G,Date,opponent,Tm,Opp,110,76.42424242424242,73.0909090909091
34,"Tue, Mar 13, 2018",florida-gulf-coast,80,68,122,76.52941176470588,72.94117647058823
35,"Mon, Mar 19, 2018",stanford,71,65,128,76.37142857142857,72.71428571428571
36,"Wed, Mar 21, 2018",western-kentucky,84,92,120,76.58333333333333,73.25
