G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",fairleigh-dickinson,90,68,22,90.0,68.0
2,"Sun, Nov 12, 2017",monmouth,75,65,32,82.5,66.5
3,"Wed, Nov 15, 2017",indiana,84,68,48,83.0,67.0
4,"Sat, Nov 18, 2017",njit,82,53,77,82.75,63.5
5,"Thu, Nov 23, 2017",rhode-island,74,75,76,81.0,65.8
6,"Fri, Nov 24, 2017",vanderbilt,72,59,89,79.5,64.66666666666667
7,"Thu, Nov 30, 2017",texas-tech 22,89,79,99,80.85714285714286,66.71428571428571
8,"Sun, Dec 3, 2017",louisville 17,79,77,101,80.625,68.0
9,"Sat, Dec 9, 2017",virginia-commonwealth,90,67,124,81.66666666666667,67.88888888888889
10,"Tue, Dec 12, 2017",saint-peters,84,61,147,81.9,67.2
11,"Sat, Dec 16, 2017",rutgers,65,71,141,80.36363636363636,67.54545454545455
12,"Wed, Dec 20, 2017",wagner,89,68,162,81.08333333333333,67.58333333333333
13,"Sat, Dec 23, 2017",manhattan,74,62,174,80.53846153846153,67.15384615384616
14,"Thu, Dec 28, 2017",creighton 25,90,84,180,81.21428571428571,68.35714285714286
15,"Sun, Dec 31, 2017",st-johns-ny,75,70,185,80.8,68.46666666666667
16,"Sat, Jan 6, 2018",butler,90,87,188,81.375,69.625
17,"Tue, Jan 9, 2018",marquette,64,84,168,80.3529411764706,70.47058823529412
18,"Sat, Jan 13, 2018",georgetown,74,61,181,80.0,69.94444444444444
19,"Wed, Jan 17, 2018",creighton,63,80,164,79.10526315789474,70.47368421052632
20,"Sat, Jan 20, 2018",xavier 11,64,73,155,78.35,70.6
21,"Sun, Jan 28, 2018",depaul,86,70,171,78.71428571428571,70.57142857142857
22,"Wed, Jan 31, 2018",providence,73,57,187,78.45454545454545,69.95454545454545
23,"Sun, Feb 4, 2018",villanova 1,76,92,171,78.34782608695652,70.91304347826087
24,"Wed, Feb 7, 2018",marquette,85,88,168,78.625,71.625
25,"Sat, Feb 10, 2018",georgetown,80,83,165,78.68,72.08
26,"Wed, Feb 14, 2018",xavier 4,90,102,153,79.11538461538461,73.23076923076923
27,"Sun, Feb 18, 2018",depaul,82,77,158,79.22222222222223,73.37037037037037
28,"Wed, Feb 21, 2018",providence,89,77,170,79.57142857142857,73.5
29,"Sat, Feb 24, 2018",st-johns-ny,81,74,177,79.62068965517241,73.51724137931035
30,"Wed, Feb 28, 2018",villanova 4,68,69,176,79.23333333333333,73.36666666666666
31,"Sat, Mar 3, 2018",butler,77,70,183,79.16129032258064,73.25806451612904
G,Date,opponent,Tm,Opp,183,79.16129032258064,73.25806451612904
32,"Thu, Mar 8, 2018",butler,74,75,182,79.0,73.3125
G,Date,opponent,Tm,Opp,182,79.0,73.3125
33,"Thu, Mar 15, 2018",north-carolina-state,94,83,193,79.45454545454545,73.60606060606061
34,"Sat, Mar 17, 2018",kansas 4,79,83,189,79.44117647058823,73.88235294117646
