G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",new-orleans,77,61,16,77.0,61.0
2,"Tue, Nov 14, 2017",central-connecticut-state,80,55,41,78.5,58.0
3,"Thu, Nov 16, 2017",nebraska,79,56,64,78.66666666666667,57.333333333333336
4,"Mon, Nov 20, 2017",molloy,71,43,92,76.75,53.75
5,"Thu, Nov 23, 2017",oregon-state,82,77,97,77.8,58.4
6,"Fri, Nov 24, 2017",missouri,82,90,89,78.5,63.666666666666664
7,"Sun, Nov 26, 2017",central-florida,46,43,92,73.85714285714286,60.714285714285715
8,"Sat, Dec 2, 2017",sacred-heart,90,55,127,75.875,60.0
9,"Tue, Dec 5, 2017",grand-canyon,68,60,135,75.0,60.0
10,"Fri, Dec 8, 2017",arizona-state 16,70,82,123,74.5,62.2
11,"Sun, Dec 17, 2017",iona,69,59,133,74.0,61.90909090909091
12,"Wed, Dec 20, 2017",saint-josephs,77,73,137,74.25,62.833333333333336
13,"Thu, Dec 28, 2017",providence,72,94,115,74.07692307692308,65.23076923076923
14,"Sun, Dec 31, 2017",seton-hall 23,70,75,110,73.78571428571429,65.92857142857143
15,"Wed, Jan 3, 2018",creighton,71,78,103,73.6,66.73333333333333
16,"Sat, Jan 6, 2018",depaul,74,91,86,73.625,68.25
17,"Tue, Jan 9, 2018",georgetown,66,69,83,73.17647058823529,68.29411764705883
18,"Sat, Jan 13, 2018",villanova 1,71,78,76,73.05555555555556,68.83333333333333
19,"Wed, Jan 17, 2018",xavier 11,82,88,70,73.52631578947368,69.84210526315789
20,"Sat, Jan 20, 2018",georgetown,89,93,66,74.3,71.0
21,"Tue, Jan 23, 2018",creighton,63,68,61,73.76190476190476,70.85714285714286
22,"Sat, Jan 27, 2018",butler,45,70,36,72.45454545454545,70.81818181818181
23,"Tue, Jan 30, 2018",xavier 6,68,73,31,72.26086956521739,70.91304347826087
24,"Sat, Feb 3, 2018",duke 4,81,77,35,72.625,71.16666666666667
25,"Wed, Feb 7, 2018",villanova 1,79,75,39,72.88,71.32
26,"Sat, Feb 10, 2018",marquette,86,78,47,73.38461538461539,71.57692307692308
27,"Wed, Feb 14, 2018",depaul,77,76,48,73.51851851851852,71.74074074074075
28,"Wed, Feb 21, 2018",marquette,73,85,36,73.5,72.21428571428571
29,"Sat, Feb 24, 2018",seton-hall,74,81,29,73.51724137931035,72.51724137931035
30,"Wed, Feb 28, 2018",butler,75,68,36,73.56666666666666,72.36666666666666
31,"Sat, Mar 3, 2018",providence,57,61,32,73.03225806451613,72.0
G,Date,opponent,Tm,Opp,32,73.03225806451613,72.0
32,"Wed, Mar 7, 2018",georgetown,88,77,43,73.5,72.15625
33,"Thu, Mar 8, 2018",xavier 3,60,88,15,73.0909090909091,72.63636363636364
