G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",south-alabama,75,50,25,75.0,50.0
2,"Tue, Nov 14, 2017",maine,83,44,64,79.0,47.0
3,"Sat, Nov 18, 2017",boston-college,75,64,75,77.66666666666667,52.666666666666664
4,"Sun, Nov 19, 2017",northwestern 20,85,49,111,79.5,51.75
5,"Wed, Nov 22, 2017",wofford,79,56,134,79.4,52.6
6,"Sat, Nov 25, 2017",savannah-state,103,69,168,83.33333333333333,55.333333333333336
7,"Thu, Nov 30, 2017",seton-hall,79,89,158,82.71428571428571,60.142857142857146
8,"Tue, Dec 5, 2017",nevada 22,82,76,164,82.625,62.125
9,"Wed, Dec 13, 2017",kennesaw-state,82,53,193,82.55555555555556,61.111111111111114
10,"Sat, Dec 16, 2017",rice,73,53,213,81.6,60.3
11,"Tue, Dec 19, 2017",florida-atlantic,90,54,249,82.36363636363636,59.72727272727273
12,"Fri, Dec 22, 2017",abilene-christian,74,47,276,81.66666666666667,58.666666666666664
13,"Fri, Dec 29, 2017",baylor 18,77,53,300,81.3076923076923,58.23076923076923
14,"Tue, Jan 2, 2018",kansas 10,85,73,312,81.57142857142857,59.285714285714285
15,"Sat, Jan 6, 2018",kansas-state,74,58,328,81.06666666666666,59.2
16,"Tue, Jan 9, 2018",oklahoma 9,65,75,318,80.0625,60.1875
17,"Sat, Jan 13, 2018",west-virginia 2,72,71,319,79.58823529411765,60.8235294117647
18,"Wed, Jan 17, 2018",texas,58,67,310,78.38888888888889,61.166666666666664
19,"Sat, Jan 20, 2018",iowa-state,52,70,292,77.0,61.63157894736842
20,"Tue, Jan 23, 2018",oklahoma-state,75,70,297,76.9,62.05
21,"Sat, Jan 27, 2018",south-carolina,70,63,304,76.57142857142857,62.095238095238095
22,"Wed, Jan 31, 2018",texas,73,71,306,76.4090909090909,62.5
23,"Sat, Feb 3, 2018",texas-christian,83,71,318,76.69565217391305,62.869565217391305
24,"Wed, Feb 7, 2018",iowa-state,76,58,336,76.66666666666667,62.666666666666664
25,"Sat, Feb 10, 2018",kansas-state,66,47,355,76.24,62.04
26,"Tue, Feb 13, 2018",oklahoma 23,88,78,365,76.6923076923077,62.65384615384615
27,"Sat, Feb 17, 2018",baylor,57,59,363,75.96296296296296,62.51851851851852
28,"Wed, Feb 21, 2018",oklahoma-state,71,79,355,75.78571428571429,63.107142857142854
29,"Sat, Feb 24, 2018",kansas 8,72,74,353,75.65517241379311,63.48275862068966
30,"Mon, Feb 26, 2018",west-virginia 20,74,84,343,75.6,64.16666666666667
31,"Sat, Mar 3, 2018",texas-christian,79,75,347,75.70967741935483,64.51612903225806
G,Date,opponent,Tm,Opp,347,75.70967741935483,64.51612903225806
32,"Thu, Mar 8, 2018",texas,73,69,351,75.625,64.65625
33,"Fri, Mar 9, 2018",west-virginia 18,63,66,348,75.24242424242425,64.6969696969697
G,Date,opponent,Tm,Opp,348,75.24242424242425,64.6969696969697
34,"Thu, Mar 15, 2018",stephen-f-austin,70,60,358,75.08823529411765,64.55882352941177
35,"Sat, Mar 17, 2018",florida 23,69,66,361,74.91428571428571,64.6
36,"Fri, Mar 23, 2018",purdue 11,78,65,374,75.0,64.61111111111111
37,"Sun, Mar 25, 2018",villanova 2,59,71,362,74.56756756756756,64.78378378378379
