G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",columbia,75,60,15,75.0,60.0
2,"Tue, Nov 14, 2017",nicholls-state,113,77,51,94.0,68.5
3,"Fri, Nov 17, 2017",lafayette,104,57,98,97.33333333333333,64.66666666666667
4,"Wed, Nov 22, 2017",western-kentucky,66,58,106,89.5,63.0
5,"Thu, Nov 23, 2017",tennessee,85,76,115,88.6,65.6
6,"Fri, Nov 24, 2017",northern-iowa,64,50,129,84.5,63.0
7,"Wed, Nov 29, 2017",pennsylvania,90,62,157,85.28571428571429,62.857142857142854
8,"Sat, Dec 2, 2017",saint-josephs,94,53,198,86.375,61.625
9,"Tue, Dec 5, 2017",gonzaga 12,88,72,214,86.55555555555556,62.77777777777778
10,"Sun, Dec 10, 2017",la-salle,77,68,223,85.6,63.3
11,"Wed, Dec 13, 2017",temple,87,67,243,85.72727272727273,63.63636363636363
12,"Fri, Dec 22, 2017",hofstra,95,71,267,86.5,64.25
13,"Wed, Dec 27, 2017",depaul,103,85,285,87.76923076923077,65.84615384615384
14,"Sat, Dec 30, 2017",butler,93,101,277,88.14285714285714,68.35714285714286
15,"Sat, Jan 6, 2018",marquette,100,90,287,88.93333333333334,69.8
16,"Wed, Jan 10, 2018",xavier 10,89,65,311,88.9375,69.5
17,"Sat, Jan 13, 2018",st-johns-ny,78,71,318,88.29411764705883,69.58823529411765
18,"Wed, Jan 17, 2018",georgetown,88,56,350,88.27777777777777,68.83333333333333
19,"Sat, Jan 20, 2018",connecticut,81,61,370,87.89473684210526,68.42105263157895
20,"Tue, Jan 23, 2018",providence,89,69,390,87.95,68.45
21,"Sun, Jan 28, 2018",marquette,85,82,393,87.80952380952381,69.0952380952381
22,"Thu, Feb 1, 2018",creighton,98,78,413,88.27272727272727,69.5
23,"Sun, Feb 4, 2018",seton-hall,92,76,429,88.43478260869566,69.78260869565217
24,"Wed, Feb 7, 2018",st-johns-ny,75,79,425,87.875,70.16666666666667
25,"Sat, Feb 10, 2018",butler,86,75,436,87.8,70.36
26,"Wed, Feb 14, 2018",providence,71,76,431,87.15384615384616,70.57692307692308
27,"Sat, Feb 17, 2018",xavier 4,95,79,447,87.44444444444444,70.88888888888889
28,"Wed, Feb 21, 2018",depaul,93,62,478,87.64285714285714,70.57142857142857
29,"Sat, Feb 24, 2018",creighton,83,89,472,87.48275862068965,71.20689655172414
30,"Wed, Feb 28, 2018",seton-hall,69,68,473,86.86666666666666,71.1
31,"Sat, Mar 3, 2018",georgetown,97,73,497,87.19354838709677,71.16129032258064
G,Date,opponent,Tm,Opp,497,87.19354838709677,71.16129032258064
32,"Thu, Mar 8, 2018",marquette,94,70,521,87.40625,71.125
33,"Fri, Mar 9, 2018",butler,87,68,540,87.39393939393939,71.03030303030303
34,"Sat, Mar 10, 2018",providence,76,66,550,87.05882352941177,70.88235294117646
G,Date,opponent,Tm,Opp,550,87.05882352941177,70.88235294117646
35,"Thu, Mar 15, 2018",radford,87,61,576,87.05714285714286,70.6
36,"Sat, Mar 17, 2018",alabama,81,58,599,86.88888888888889,70.25
37,"Fri, Mar 23, 2018",west-virginia 15,90,78,611,86.97297297297297,70.45945945945945
38,"Sun, Mar 25, 2018",texas-tech 14,71,59,623,86.55263157894737,70.15789473684211
39,"Sat, Mar 31, 2018",kansas 4,95,79,639,86.76923076923077,70.38461538461539
40,"Mon, Apr 2, 2018",michigan 7,79,62,656,86.575,70.175
