G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",north-carolina-greensboro,60,48,12,60.0,48.0
2,"Mon, Nov 13, 2017",austin-peay,93,49,56,76.5,48.5
3,"Fri, Nov 17, 2017",virginia-commonwealth,76,67,65,76.33333333333333,54.666666666666664
4,"Sun, Nov 19, 2017",monmouth,73,53,85,75.5,54.25
5,"Thu, Nov 23, 2017",vanderbilt,68,42,111,74.0,51.8
6,"Fri, Nov 24, 2017",rhode-island,70,55,126,73.33333333333333,52.333333333333336
7,"Mon, Nov 27, 2017",wisconsin,49,37,138,69.85714285714286,50.142857142857146
8,"Sat, Dec 2, 2017",lehigh,75,54,159,70.5,50.625
9,"Tue, Dec 5, 2017",west-virginia 18,61,68,152,69.44444444444444,52.55555555555556
10,"Sat, Dec 16, 2017",davidson,80,60,172,70.5,53.3
11,"Tue, Dec 19, 2017",savannah-state,78,47,203,71.18181818181819,52.72727272727273
12,"Fri, Dec 22, 2017",hampton,82,48,237,72.08333333333333,52.333333333333336
13,"Sat, Dec 30, 2017",boston-college,59,58,238,71.07692307692308,52.76923076923077
14,"Wed, Jan 3, 2018",virginia-tech,78,52,264,71.57142857142857,52.714285714285715
15,"Sat, Jan 6, 2018",north-carolina 12,61,49,276,70.86666666666666,52.46666666666667
16,"Tue, Jan 9, 2018",syracuse,68,61,283,70.6875,53.0
17,"Sun, Jan 14, 2018",north-carolina-state,68,51,300,70.52941176470588,52.88235294117647
18,"Thu, Jan 18, 2018",georgia-tech,64,48,316,70.16666666666667,52.611111111111114
19,"Sun, Jan 21, 2018",wake-forest,59,49,326,69.57894736842105,52.421052631578945
20,"Tue, Jan 23, 2018",clemson 18,61,36,351,69.15,51.6
21,"Sat, Jan 27, 2018",duke 4,65,63,353,68.95238095238095,52.142857142857146
22,"Wed, Jan 31, 2018",louisville,74,64,363,69.18181818181819,52.68181818181818
23,"Sat, Feb 3, 2018",syracuse,59,44,378,68.73913043478261,52.30434782608695
24,"Wed, Feb 7, 2018",florida-state,59,55,382,68.33333333333333,52.416666666666664
25,"Sat, Feb 10, 2018",virginia-tech,60,61,381,68.0,52.76
26,"Tue, Feb 13, 2018",miami-fl,59,50,390,67.65384615384616,52.65384615384615
27,"Wed, Feb 21, 2018",georgia-tech,65,54,401,67.55555555555556,52.7037037037037
28,"Sat, Feb 24, 2018",pittsburgh,66,37,430,67.5,52.142857142857146
29,"Thu, Mar 1, 2018",louisville,67,66,431,67.48275862068965,52.62068965517241
30,"Sat, Mar 3, 2018",notre-dame,62,57,436,67.3,52.766666666666666
G,Date,opponent,Tm,Opp,436,67.3,52.766666666666666
31,"Thu, Mar 8, 2018",louisville,75,58,453,67.54838709677419,52.935483870967744
32,"Fri, Mar 9, 2018",clemson 19,64,58,459,67.4375,53.09375
33,"Sat, Mar 10, 2018",north-carolina 12,71,63,467,67.54545454545455,53.39393939393939
G,Date,opponent,Tm,Opp,467,67.54545454545455,53.39393939393939
34,"Fri, Mar 16, 2018",maryland-baltimore-county,54,74,447,67.1470588235294,54.0
